row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng12 năm 2015VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng12 năm 2015VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014VND
Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,,
Hoạt động môi giới chứng khoán,Thu nhập từ các hoạt động khác > Hoạt động môi giới chứng khoán,Hoạt động môi giới chứng khoán,78.210.563.437,100.379.084.045,78210563437.0,100379084045.0
Hoạt động bảo lãnh phát hành chứng khoán,Thu nhập từ các hoạt động khác > Hoạt động bảo lãnh phát hành chứng khoán,Hoạt động bảo lãnh phát hành chứng khoán,1.028.025.755,77.928.484,1028025755.0,77928484.0
Dịch vụ tư vấn đầu tư,Thu nhập từ các hoạt động khác > Dịch vụ tư vấn đầu tư,Dịch vụ tư vấn đầu tư,9.212.733.596,5.537.945.455,9212733596.0,5537945455.0
Dịch vụ lưu ký chứng khoán,Thu nhập từ các hoạt động khác > Dịch vụ lưu ký chứng khoán,Dịch vụ lưu ký chứng khoán,3.006.747.785,2.553.141.085,3006747785.0,2553141085.0
Quản lý danh mục đầu tư,Thu nhập từ các hoạt động khác > Quản lý danh mục đầu tư,Quản lý danh mục đầu tư,1.957.994.427,814.526.896,1957994427.0,814526896.0
Quản lý bất động sản,Thu nhập từ các hoạt động khác > Quản lý bất động sản,Quản lý bất động sản,13.764.998.107,9.919.770.383,13764998107.0,9919770383.0
Dịch vụ đào tạo,Thu nhập từ các hoạt động khác > Dịch vụ đào tạo,Dịch vụ đào tạo,16.259.320.956,14.172.155.472,16259320956.0,14172155472.0
Hoạt động xây lắp và kinh doanh thiết bị vật liệu xây dựng,Thu nhập từ các hoạt động khác > Hoạt động xây lắp và kinh doanh thiết bị vật liệu xây dựng,Hoạt động xây lắp và kinh doanh thiết bị vật liệu xây dựng,187.213.438.991,181.403.868.323,187213438991.0,181403868323.0
Doanh thu cho thuê nhà,Thu nhập từ các hoạt động khác > Doanh thu cho thuê nhà,Doanh thu cho thuê nhà,50.216.379.123,52.304.920.565,50216379123.0,52304920565.0
Các dịch vụ khác,Thu nhập từ các hoạt động khác > Các dịch vụ khác,Các dịch vụ khác,19.850.184.918,13.859.536.918,19850184918.0,13859536918.0
,,,380.720.387.095,381.022.877.626,380720387095.0,381022877626.0
Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,,
Chi phí hoạt động môi giới chứng khoán,Chi phí từ các hoạt động khác > Chi phí hoạt động môi giới chứng khoán,Chi phí hoạt động môi giới chứng khoán,(73.046.115.332),(75.384.894.666),-73046115332.0,-75384894666.0
"Chi phí bảo lãnh, phát hành chứng khoán","Chi phí từ các hoạt động khác > Chi phí bảo lãnh, phát hành chứng khoán","Chi phí bảo lãnh, phát hành chứng khoán",(133.263.604),(51.873.271),-133263604.0,-51873271.0
Dịch vụ tư vấn đầu tư,Chi phí từ các hoạt động khác > Dịch vụ tư vấn đầu tư,Dịch vụ tư vấn đầu tư,(6.986.796.645),(5.723.060.572),-6986796645.0,-5723060572.0
Dịch vụ lưu ký chứng khoán,Chi phí từ các hoạt động khác > Dịch vụ lưu ký chứng khoán,Dịch vụ lưu ký chứng khoán,(7.779.697.694),(7.886.168.091),-7779697694.0,-7886168091.0
Quản lý danh mục đầu tư,Chi phí từ các hoạt động khác > Quản lý danh mục đầu tư,Quản lý danh mục đầu tư,(9.846.798),(22.934.284),-9846798.0,-22934284.0
Quản lý bất động sản,Chi phí từ các hoạt động khác > Quản lý bất động sản,Quản lý bất động sản,(35.695.704.242),(40.682.908.874),-35695704242.0,-40682908874.0
Hoạt động xây lắp và kinh doanh thiết bị vật liệu xây dựng,Chi phí từ các hoạt động khác > Hoạt động xây lắp và kinh doanh thiết bị vật liệu xây dựng,Hoạt động xây lắp và kinh doanh thiết bị vật liệu xây dựng,(165.853.439.749),(161.058.298.934),-165853439749.0,-161058298934.0
Các dịch vụ khác,Chi phí từ các hoạt động khác > Các dịch vụ khác,Các dịch vụ khác,(22.337.087.521),(22.244.465.619),-22337087521.0,-22244465619.0
,,,(311.841.951.585),(313.054.604.311),-311841951585.0,-313054604311.0
,,,68.878.435.510,67.968.273.315,68878435510.0,67968273315.0
