row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2015 VND,Ngày 31 tháng 12 năm 2014 VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015 VND,numeric__Ngày 31 tháng 12 năm 2014 VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,14.1,,,141.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,1.165.931.566.940,1.168.681.173.986,,1165931566940.0,1168681173986.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,444.338.998.664,461.611.489.894,,444338998664.0,461611489894.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,137.033.645.365,170.653.610.700,,137033645365.0,170653610700.0
,,,,1.747.304.210.969,1.800.946.274.580,,1747304210969.0,1800946274580.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,,(404.600.653.219),(434.945.963.067),,-404600653219.0,-434945963067.0
,,,,1.342.703.557.750,1.366.000.311.513,,1342703557750.0,1366000311513.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,14.2,,,142.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,13.539.397.639.422,12.921.017.514.349,,13539397639422.0,12921017514349.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,13.242.141.089.373,12.591.202.811.170,,13242141089373.0,12591202811170.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,297.256.550.049,329.814.703.179,,297256550049.0,329814703179.0
Dải hạn,Dải hạn,Dải hạn,,31.751.745.646.963,22.298.380.796.815,,31751745646963.0,22298380796815.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,1.686.000.000.000,3.738.076.354.841,,1686000000000.0,3738076354841.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,29.262.780.262.406,17.845.425.096.532,,29262780262406.0,17845425096532.0
- Tạm ứng từ giá trị giải ước,- Tạm ứng từ giá trị giải ước,- Tạm ứng từ giá trị giải ước,,802.965.384.557,714.879.345.442,,802965384557.0,714879345442.0
,,,,45.291.143.286.385,35.219.398.311.164,,45291143286385.0,35219398311164.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,14.3,,,143.0,,
"Đầu tư vào công ty liên kết, liên doanh","Đầu tư vào công ty liên kết, liên doanh","Đầu tư vào công ty liên kết, liên doanh",14.3.1,2.091.160.536.985,2.131.508.558.580,1431.0,2091160536985.0,2131508558580.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.3.2,563.527.138.423,365.928.261.225,1432.0,563527138423.0,365928261225.0
Dự phòng đầu tư dài hạn khác,Dự phòng đầu tư dài hạn khác,Dự phòng đầu tư dài hạn khác,14.3.2,(54.239.974.693),(43.068.720.189),1432.0,-54239974693.0,-43068720189.0
,,,,2.600.447.700.715,2.454.368.099.616,,2600447700715.0,2454368099616.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,49.234.294.544.850,39.039.766.722.293,,49234294544850.0,39039766722293.0
