row_label_raw,row_label_full,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015_1,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015_2,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015_3,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015_1,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015_2,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2015_3
,,,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị số sách,Giá trị số sách,998.741.069.402,234.044.374.738,1.232.785.444.140,998741069402.0,234044374738.0,1232785444140.0
Giá trị thị trường,Giá trị thị trường,Giá trị thị trường,906.036.178.300,516.048.299.600,1.422.084.477.900,906036178300.0,516048299600.0,1422084477900.0
"VaR (95%, 1 ngày)","VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(15.377.565.225),(15.459.076.038),(30.836.641.263),-15377565225.0,-15459076038.0,-30836641263.0
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),12.743.072.284,8.954.804.139,21.697.876.423,12743072284.0,8954804139.0,21697876423.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(34.385.281.171),(34.567.544.890),(68.952.826.061),-34385281171.0,-34567544890.0,-68952826061.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(72.127.174.278),(72.509.493.881),(144.636.668.159),-72127174278.0,-72509493881.0,-144636668159.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(244.111.280.128),(245.405.224.171),(489.516.504.299),-244111280128.0,-245405224171.0,-489516504299.0
Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014,,,
,,,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > Giá trị số sách,Giá trị số sách,1.079.157.551.726,129.048.522.260,1.208.206.073.986,1079157551726.0,129048522260.0,1208206073986.0
Giá trị thị trường,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > Giá trị thị trường,Giá trị thị trường,866.885.438.535,484.596.624.388,1.351.482.062.923,866885438535.0,484596624388.0,1351482062923.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(14.311.778.708),(19.187.487.846),(33.499.266.554),-14311778708.0,-19187487846.0,-33499266554.0
Mức độ đa dạng hóa VaR (95%),Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),12.576.393.174,6.542.678.535,19.119.071.709,12576393174.0,6542678535.0,19119071709.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(32.002.110.069),(42.904.527.140),(74.906.637.209),-32002110069.0,-42904527140.0,-74906637209.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(67.128.192.402),(89.997.295.383),(157.125.487.785),-67128192402.0,-89997295383.0,-157125487785.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2014 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(227.192.443.678),(304.591.926.743),(531.784.370.421),-227192443678.0,-304591926743.0,-531784370421.0
