row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động ngân hàng,Hoạt động bất động sản và hoạt động khác,Các bút toán điều chỉnh,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động ngân hàng,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Các bút toán điều chỉnh,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,7.938.133,5.970.437,-,-,-,-,13.908.570,7938133.0,5970437.0,,,,,13908570.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(4.251),(1.240.205),-,-,-,-,(1.244.456),-4251.0,-1240205.0,,,,,-1244456.0
Hóa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hóa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hóa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,672,117.819,-,-,-,-,118.491,672.0,117819.0,,,,,118491.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,7.934.554,4.848.051,-,-,-,-,12.782.605,7934554.0,4848051.0,,,,,12782605.0
Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,(2.875.245),(2.982.752),-,-,-,-,(5.857.997),-2875245.0,-2982752.0,,,,,-5857997.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(191.532),-,-,-,-,(191.532),,-191532.0,,,,,-191532.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,3.753,-,-,-,-,3.753,,3753.0,,,,,3753.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,-,590.688,-,-,-,-,590.688,,590688.0,,,,,590688.0
Tăng dự phòng toàn học,Tăng dự phòng toàn học,Tăng dự phòng toàn học,(4.078.011),-,-,-,-,-,(4.078.011),-4078011.0,,,,,,-4078011.0
Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(6.623),(118.226),-,-,-,-,(124.849),-6623.0,-118226.0,,,,,-124849.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,31.006,-,-,-,-,31.006,,31006.0,,,,,31006.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(97.922),-,-,-,-,(97.922),,-97922.0,,,,,-97922.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.313.237),(1.511.863),-,-,-,-,(2.825.100),-1313237.0,-1511863.0,,,,,-2825100.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(8.273.116),(4.276.848),-,-,-,-,(12.549.964),-8273116.0,-4276848.0,,,,,-12549964.0
Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,(338.562),571.203,-,-,-,-,232.641,-338562.0,571203.0,,,,,232641.0
Thu nhập thuần từ các hoạt động ngân hàng,Thu nhập thuần từ các hoạt động ngân hàng,Thu nhập thuần từ các hoạt động ngân hàng,-,-,-,175.691,-,23.780,199.471,,,,175691.0,,23780.0,199471.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,136.955,-,28.339,(97.325),67.969,,,136955.0,,28339.0,-97325.0,67969.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(929.040),(565.025),(300.139),(131.515),(10.199),48.785,(1.887.133),-929040.0,-565025.0,-300139.0,-131515.0,-10199.0,48785.0,-1887133.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,2.017.072,307.602,1.530.379,-,3.747,(1.002.580),2.856.220,2017072.0,307602.0,1530379.0,,3747.0,-1002580.0,2856220.0
