row_label_raw,row_label_full,col_0,Giá trị ghi số,Giá trị ghi số_1,Giá trị ghi số_2,Giá trị hợp lý,numeric__Giá trị ghi số,numeric__Giá trị ghi số_1,numeric__Giá trị ghi số_2,numeric__Giá trị hợp lý
,,,Nguyên giá VND,Dự phòng giảm giả trị VND,Tổng VND,VND,,,,
31 tháng 12 năm 2015,31 tháng 12 năm 2015,31 tháng 12 năm 2015,31 tháng 12 năm 2015,31 tháng 12 năm 2015,31 tháng 12 năm 2015,31 tháng 12 năm 2015,,,,
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,46.717.396.837.012,(707.550.463.300),46.009.846.373.712,48.075.012.135.943,46717396837012.0,-707550463300.0,46009846373712.0,48075012135943.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,15.780.473.837.512,(442.600.000.000),15.337.873.837.512,15.519.719.755.299,15780473837512.0,-442600000000.0,15337873837512.0,15519719755299.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,30.936.922.999.500,(264.950.463.300),30.671.972.536.200,32.555.292.380.644,30936922999500.0,-264950463300.0,30671972536200.0,32555292380644.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.747.304.210.969,(404.600.653.219),1.342.703.557.750,1.613.277.485.297,1747304210969.0,-404600653219.0,1342703557750.0,1613277485297.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.165.931.566.940,(278.968.745.362),886.962.821.578,1.251.599.638.700,1165931566940.0,-278968745362.0,886962821578.0,1251599638700.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,444.338.998.664,(123.246.615.257),321.092.383.407,211.686.993.197,444338998664.0,-123246615257.0,321092383407.0,211686993197.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,137.033.645.365,(2.385.292.600),134.648.352.765,149.990.853.400,137033645365.0,-2385292600.0,134648352765.0,149990853400.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,277.757.046.968,(54.239.974.693),223.517.072.275,368.139.076.783,277757046968.0,-54239974693.0,223517072275.0,368139076783.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.849.421.516.146,(94.633.062.266),1.754.788.453.880,1.754.788.453.880,1849421516146.0,-94633062266.0,1754788453880.0,1754788453880.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,648.893.146.772,(213.719.985.437),435.173.161.335,443.805.457.375,648893146772.0,-213719985437.0,435173161335.0,443805457375.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,347.211.798.459,-,347.211.798.459,347.211.798.459,347211798459.0,,347211798459.0,347211798459.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,1.006.839.809.438,-,1.006.839.809.438,1.006.839.809.438,1006839809438.0,,1006839809438.0,1006839809438.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,369.577.948.754,(60.138.545.006),309.439.403.748,309.439.403.748,369577948754.0,-60138545006.0,309439403748.0,309439403748.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",40.729.256.836,-,40.729.256.836,40.729.256.836,40729256836.0,,40729256836.0,40729256836.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,2.750.169.900,-,2.750.169.900,2.750.169.900,2750169900.0,,2750169900.0,2750169900.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,326.098.522.018,(60.138.545.006),265.959.977.012,265.959.977.012,326098522018.0,-60138545006.0,265959977012.0,265959977012.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.256.691.436.043,-,2.256.691.436.043,2.256.691.436.043,2256691436043.0,,2256691436043.0,2256691436043.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,55.221.093.750.561,(1.534.882.683.921),53.686.211.066.640,56.175.205.056.966,55221093750561.0,-1534882683921.0,53686211066640.0,56175205056966.0
