row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014
,,,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
32,32,32,"1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lai cổ phiếu của doanh nghiệp đã phát hành",,-,(39.013.395.859),,,,-39013395859.0
33,33,33,2. Tiền thu từ đi vay (bao gồm hoạt động repo),,16.897.026.534.657,17.879.010.021.796,,,16897026534657.0,17879010021796.0
34,34,34,3. Tiền trả nợ gốc vay (bao gồm hoạt động repo),,(12.373.735.516.055),(18.230.628.390.000),,,-12373735516055.0,-18230628390000.0
36,36,36,"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu Tập đoàn và các cổ đông không kiểm soát",,(681.281.899.550),(1.063.159.934.400),,,-681281899550.0,-1063159934400.0
40,40,40,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,,3.842.009.119.052,(1.453.791.698.463),,,3842009119052.0,-1453791698463.0
50,50,50,Lưu chuyển tiền thuần trong năm,,830.013.154.484,(5.893.013.588.854),,,830013154484.0,-5893013588854.0
60,60,60,Tiền và tương đương tiền đầu năm,,1.424.818.218.079,7.318.047.598.296,,,1424818218079.0,7318047598296.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1.860.063.480,(215.791.363),,,1860063480.0,-215791363.0
70,70,70,Tiền và tương đương tiền cuối năm,5,2.256.691.436.043,1.424.818.218.079,,5.0,2256691436043.0,1424818218079.0
