row_label_raw,row_label_full,col_0,Nghĩa vụ các hợpđồng bảo hiểm vàđầu tư có cấu phầnkhông đảm bảoVND,Nghĩa vụ các hợpđồng bảo hiểmkhông có cấu phầnkhông đảm bảoVND,TổngVND,numeric__Nghĩa vụ các hợpđồng bảo hiểm vàđầu tư có cấu phầnkhông đảm bảoVND,numeric__Nghĩa vụ các hợpđồng bảo hiểmkhông có cấu phầnkhông đảm bảoVND,numeric__TổngVND
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2015 > Điều khoản riêng,Điều khoản riêng,2.987.602.497,152.008.339.553,154.995.942.050,2987602497.0,152008339553.0,154995942050.0
Trọn đời,Ngày 31 tháng 12 năm 2015 > Trọn đời,Trọn đời,85.840.099.877,-,65.840.099.877,85840099877.0,,65840099877.0
Từ kỳ,Ngày 31 tháng 12 năm 2015 > Từ kỳ,Từ kỳ,-,8.936.782.066,8.936.782.066,,8936782066.0,8936782066.0
Hỗn hợp,Ngày 31 tháng 12 năm 2015 > Hỗn hợp,Hỗn hợp,8.791.280.391.660,11.335.613.886.173,20.126.894.277.833,8791280391660.0,11335613886173.0,20126894277833.0
Liên kết chung,Ngày 31 tháng 12 năm 2015 > Liên kết chung,Liên kết chung,-,9.102.279.004.126,9.102.279.004.126,,9102279004126.0,9102279004126.0
Niên kim,Ngày 31 tháng 12 năm 2015 > Niên kim,Niên kim,453.689.322.426,-,453.689.322.426,453689322426.0,,453689322426.0
Tổng,Ngày 31 tháng 12 năm 2015 > Tổng,Tổng,9.333.797.416.460,20.598.838.011.918,29.932.635.428.378,9333797416460.0,20598838011918.0,29932635428378.0
Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2014 > Điều khoản riêng,Điều khoản riêng,3.329.894.166,116.727.947.447,120.057.841.613,3329894166.0,116727947447.0,120057841613.0
Trọn đời,Ngày 31 tháng 12 năm 2014 > Trọn đời,Trọn đời,82.267.897.985,-,82.267.897.985,82267897985.0,,82267897985.0
Từ kỳ,Ngày 31 tháng 12 năm 2014 > Từ kỳ,Từ kỳ,-,5.092.202.103,5.092.202.103,,5092202103.0,5092202103.0
Hỗn hợp,Ngày 31 tháng 12 năm 2014 > Hỗn hợp,Hỗn hợp,8.343.993.227.286,9.554.264.213.609,17.898.257.440.895,8343993227286.0,9554264213609.0,17898257440895.0
Liên kết chung,Ngày 31 tháng 12 năm 2014 > Liên kết chung,Liên kết chung,-,5.694.808.598.261,5.694.808.598.261,,5694808598261.0,5694808598261.0
Niên kim,Ngày 31 tháng 12 năm 2014 > Niên kim,Niên kim,347.471.930.152,-,347.471.930.152,347471930152.0,,347471930152.0
Khác,Ngày 31 tháng 12 năm 2014 > Khác,Khác,341.769.302,-,341.769.302,341769302.0,,341769302.0
Tổng,Ngày 31 tháng 12 năm 2014 > Tổng,Tổng,8.777.404.718.891,15.370.892.961.420,24.148.297.680.311,8777404718891.0,15370892961420.0,24148297680311.0
