row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,3.931.984.617.124,3.477.936.078.660,3931984617124.0,3477936078660.0
Bảo hiểm liên kết chung,Bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,5.690.491.055.490,4.132.470.704.798,5690491055490.0,4132470704798.0
Bảo hiểm tử ký,Bảo hiểm nhân thọ > Bảo hiểm tử ký,Bảo hiểm tử ký,14.088.476.698,3.215.530.000,14088476698.0,3215530000.0
Bảo hiểm trọn đời,Bảo hiểm nhân thọ > Bảo hiểm trọn đời,Bảo hiểm trọn đời,4.609.617.800,5.571.924.200,4609617800.0,5571924200.0
Niền kim nhân thọ,Bảo hiểm nhân thọ > Niền kim nhân thọ,Niền kim nhân thọ,139.670.985.000,86.917.313.111,139670985000.0,86917313111.0
Điều khoản riêng,Bảo hiểm nhân thọ > Điều khoản riêng,Điều khoản riêng,347.165.855.511,263.474.290.762,347165855511.0,263474290762.0
Bảo hiểm liên kết ngân hàng,Bảo hiểm nhân thọ > Bảo hiểm liên kết ngân hàng,Bảo hiểm liên kết ngân hàng,1.015.561.100,802.632.199,1015561100.0,802632199.0
Các khoản giảm trừ,Bảo hiểm nhân thọ > Các khoản giảm trừ,Các khoản giảm trừ,(14.201.546.477),(12.406.294.556),-14201546477.0,-12406294556.0
Tổng doanh thu bảo hiểm nhân thọ,Bảo hiểm nhân thọ > Tổng doanh thu bảo hiểm nhân thọ,Tổng doanh thu bảo hiểm nhân thọ,10.114.824.622.246,7.957.982.179.174,10114824622246.0,7957982179174.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,366.185.251.574,384.271.151.934,366185251574.0,384271151934.0
Bảo hiểm Tàu thủy,Bảo hiểm phi nhân thọ > Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,468.101.304.351,454.566.044.057,468101304351.0,454566044057.0
Bảo hiểm Đầu khí,Bảo hiểm phi nhân thọ > Bảo hiểm Đầu khí,Bảo hiểm Đầu khí,,838.674.148,,838674148.0
Bảo hiểm Hàng không,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng không,Bảo hiểm Hàng không,106.239.503.915,138.083.433.310,106239503915.0,138083433310.0
Bảo hiểm Kỹ thuật,Bảo hiểm phi nhân thọ > Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,220.744.275.957,246.602.671.827,220744275957.0,246602671827.0
Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,Bảo hiểm phi nhân thọ > Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,554.610.509.370,498.367.931.958,554610509370.0,498367931958.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm phi nhân thọ > Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,94.254.291.727,96.447.673.576,94254291727.0,96447673576.0
Bảo hiểm Nông nghiệp,Bảo hiểm phi nhân thọ > Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,7.690.540.620,9.184.201.875,7690540620.0,9184201875.0
Bảo hiểm Xe cơ giới,Bảo hiểm phi nhân thọ > Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,1.897.165.240.805,1.765.692.698.608,1897165240805.0,1765692698608.0
Bảo hiểm Y tế tự nguyện và Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm Y tế tự nguyện và Bảo hiểm con người,Bảo hiểm Y tế tự nguyện và Bảo hiểm con người,2.181.905.604.238,2.103.931.837.406,2181905604238.0,2103931837406.0
Các khoản giảm trừ,Bảo hiểm phi nhân thọ > Các khoản giảm trừ,Các khoản giảm trừ,(68.259.316.441),(42.517.907.421),-68259316441.0,-42517907421.0
Tổng doanh thu bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm phi nhân thọ,Tổng doanh thu bảo hiểm phi nhân thọ,5.828.637.206.116,5.655.468.411.278,5828637206116.0,5655468411278.0
Tổng doanh thu bảo hiểm,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm,Tổng doanh thu bảo hiểm,15.943.461.828.362,13.613.450.590.452,15943461828362.0,13613450590452.0
