row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,22.836.149.736,13.428.462.415,22836149736.0,13428462415.0
Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,28.380.469.988,35.054.661.738,28380469988.0,35054661738.0
Bảo hiểm Dầu khí,Bảo hiểm Dầu khí,Bảo hiểm Dầu khí,9.777.898.494,12.755.263.143,9777898494.0,12755263143.0
Bảo hiểm Hàng không,Bảo hiểm Hàng không,Bảo hiểm Hàng không,6.374.718.966,7.534.718.565,6374718966.0,7534718565.0
Bảo hiểm Ký thuật,Bảo hiểm Ký thuật,Bảo hiểm Ký thuật,38.810.324.686,34.686.159.759,38810324686.0,34686159759.0
Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,167.227.208.343,221.547.845.366,167227208343.0,221547845366.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,52.442.835.698,12.824.151.717,52442835698.0,12824151717.0
Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,2.863.027.374,-,2863027374.0,
Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,333.254.824,-,333254824.0,
Bảo hiểm y tế tự nguyện và bảo hiểmcon người,Bảo hiểm y tế tự nguyện và bảo hiểmcon người,Bảo hiểm y tế tự nguyện và bảo hiểmcon người,9.948.218.737,-,9948218737.0,
,,,338.994.106.846,337.831.262.703,338994106846.0,337831262703.0
