row_label_raw,row_label_full,Mã số,NGUỒN VÒN,Thuyết minh,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2014,numeric__NGUỒN VÒN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2014
400,400,400,D. VỐN CHỦ SỞ HỮU,,13.198.191.246.848,12.816.821.073.013,,,13198191246848.0,12816821073013.0
410,410,410,I. Vốn chủ sở hữu,23,13.198.191.246.848,12.816.821.073.013,,23.0,13198191246848.0,12816821073013.0
411,411,411,1. Vốn góp của chủ sở hữu,,6.804.714.340.000,6.804.714.340.000,,,6804714340000.0,6804714340000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,6.804.714.340.000,6.804.714.340.000,,,6804714340000.0,6804714340000.0
411b,411b,411b,- Cổ phiếu ưu đãi,,-,-,,,,
412,411b > 412,412,2. Thặng dư vốn cổ phần,,3.184.332.381.197,3.184.332.381.197,,,3184332381197.0,3184332381197.0
417,411b > 417,417,3. Chênh lệch tỷ giá hối đoái,,16.075.608.000,16.075.608.000,,,16075608000.0,16075608000.0
418,411b > 418,418,4. Quỹ đầu tư phát triển,,142.369.277.946,21.712.503.565,,,142369277946.0,21712503565.0
420,411b > 420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,103.568.802.818,103.568.802.818,,,103568802818.0,103568802818.0
421,411b > 421,421,6. Lợi nhuận sau thuế chưa phân phối,,2.038.471.565.269,1.867.073.385.965,,,2038471565269.0,1867073385965.0
421a,411b > 421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,,912.957.536.284,576.705.528.175,,,912957536284.0,576705528175.0
421b,411b > 421b,421b,- Lợi nhuận sau thuế chưa phân phối kỳ này,,1.125.514.028.985,1.290.367.857.790,,,1125514028985.0,1290367857790.0
423,411b > 423,423,7. Quỹ dự trữ bắt buộc hoạt động bào hiểm,,292.449.189.772,246.015.752.941,,,292449189772.0,246015752941.0
429,411b > 429,429,8. Lợi ích cổ đông không kiểm soát,,616.210.081.846,573.328.298.527,,,616210081846.0,573328298527.0
440,411b > 440,440,TỔNG CỘNG NGUỒN VỐN,,58.552.564.508.777,47.568.465.541.972,,,58552564508777.0,47568465541972.0
