row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015VND,Ngày 31 tháng 12năm 2014VND,numeric__Ngày 31 tháng 12năm 2015VND,numeric__Ngày 31 tháng 12năm 2014VND
Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,,
Bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,313.452.163.997,265.935.049.962,313452163997.0,265935049962.0
Phải trả bồi thường và trả tiền bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả bồi thường và trả tiền bảo hiểm,Phải trả bồi thường và trả tiền bảo hiểm,61.646.386.035,59.859.031.990,61646386035.0,59859031990.0
Phải trả thu nhập đại lý,Phải trả hoạt động bảo hiểm > Phải trả thu nhập đại lý,Phải trả thu nhập đại lý,241.688.782.662,196.689.012.642,241688782662.0,196689012642.0
Lãi phải trả cho chủ hợp đồng,Phải trả hoạt động bảo hiểm > Lãi phải trả cho chủ hợp đồng,Lãi phải trả cho chủ hợp đồng,10.116.995.300,9.387.005.330,10116995300.0,9387005330.0
Bảo hiểm phí nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm phí nhân thọ,Bảo hiểm phí nhân thọ,675.680.960.489,612.979.225.390,675680960489.0,612979225390.0
Phải trả hoa hồng,Phải trả hoạt động bảo hiểm > Phải trả hoa hồng,Phải trả hoa hồng,60.627.584.461,62.745.736.184,60627584461.0,62745736184.0
Phải trả hoạt động bảo hiểm góc phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả hoạt động bảo hiểm góc phi nhân thọ,Phải trả hoạt động bảo hiểm góc phi nhân thọ,114.062.319.467,141.070.178.213,114062319467.0,141070178213.0
Phải trả nhận tái bảo hiểm phí nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhận tái bảo hiểm phí nhân thọ,Phải trả nhận tái bảo hiểm phí nhân thọ,111.138.075.798,57.127.490.515,111138075798.0,57127490515.0
Phải trả nhượng tái bảo hiểm phí nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhượng tái bảo hiểm phí nhân thọ,Phải trả nhượng tái bảo hiểm phí nhân thọ,266.717.729.567,280.191.881.227,266717729567.0,280191881227.0
Phải trả đồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả đồng bảo hiểm,Phải trả đồng bảo hiểm,123.135.251.196,71.843.939.251,123135251196.0,71843939251.0
,,,989.133.124.486,878.914.275.352,989133124486.0,878914275352.0
Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,,
Lãi trải phiếu nhận trước,Phải trả hoạt động tài chính > Lãi trải phiếu nhận trước,Lãi trải phiếu nhận trước,-,7.252.841.100,,7252841100.0
Lãi tiền gửi nhận trước,Phải trả hoạt động tài chính > Lãi tiền gửi nhận trước,Lãi tiền gửi nhận trước,2.282.572.044,4.009.354.690,2282572044.0,4009354690.0
Phải trả tạm ứng cổ tức,Phải trả hoạt động tài chính > Phải trả tạm ứng cổ tức,Phải trả tạm ứng cổ tức,11.168.940.490,73.881.550.723,11168940490.0,73881550723.0
Phải trả khác hoạt động tài chính,Phải trả hoạt động tài chính > Phải trả khác hoạt động tài chính,Phải trả khác hoạt động tài chính,-,3.573.695.068,,3573695068.0
,,,13.451.512.534,88.717.441.581,13451512534.0,88717441581.0
Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,,
Phải trả nhà cung cấp,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả nhà cung cấp,Phải trả nhà cung cấp,106.938.623.005,85.535.037.779,106938623005.0,85535037779.0
Phải trả cho công ty phát hành chứng khoán,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả cho công ty phát hành chứng khoán,Phải trả cho công ty phát hành chứng khoán,14.103.367.895,3.169.007.665,14103367895.0,3169007665.0
Phải trả khác,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả khác,Phải trả khác,2.456.000.000,500.000.000,2456000000.0,500000000.0
,,,123.497.990.900,89.204.045.444,123497990900.0,89204045444.0
,,,1.126.082.627.920,1.056.835.762.377,1126082627920.0,1056835762377.0
