row_label_raw,row_label_full,col_0,Tàu bay vàcác bộ phậnVND,Máy móc vàthiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Tàu bay vàcác bộ phậnVND,numeric__Máy móc vàthiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.512.821.016.821,127.618.469.944,18.480.304.543,18.042.028.465,1.676.961.819.773,1512821016821.0,127618469944.0,18480304543.0,18042028465.0,1676961819773.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,68.709.091,6.905.019.818,-,6.973.728.909,,68709091.0,6905019818.0,,6973728909.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,267.427.465.457,-,-,-,267.427.465.457,267427465457.0,,,,267427465457.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(15.759.787.896),-,-,(15.759.787.896),,-15759787896.0,,,-15759787896.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,89.191.017.104,(89.438.755.115),(249.400.000),497.138.011,-,89191017104.0,-89438755115.0,-249400000.0,497138011.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.869.439.499.382,22.488.636.024,25.135.924.361,18.539.166.476,1.935.603.226.243,1869439499382.0,22488636024.0,25135924361.0,18539166476.0,1935603226243.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,108.488.921.775,21.791.642.892,12.544.860.181,10.597.873.821,153.423.298.669,108488921775.0,21791642892.0,12544860181.0,10597873821.0,153423298669.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,132.898.756.976,5.622.826.009,2.925.169.008,2.794.820.845,144.241.572.838,132898756976.0,5622826009.0,2925169008.0,2794820845.0,144241572838.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(5.253.262.632),-,-,(5.253.262.632),,-5253262632.0,,,-5253262632.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,6.920.458.456,(5.598.580.164),(1.904.265.674),582.387.382,-,6920458456.0,-5598580164.0,-1904265674.0,582387382.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,248.308.137.207,16.562.626.105,13.565.763.515,13.975.082.048,292.411.608.875,248308137207.0,16562626105.0,13565763515.0,13975082048.0,292411608875.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.404.332.095.046,105.826.827.052,5.935.444.362,7.444.154.644,1.523.538.521.104,1404332095046.0,105826827052.0,5935444362.0,7444154644.0,1523538521104.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.621.131.362.175,5.926.009.919,11.570.160.846,4.564.084.428,1.643.191.617.368,1621131362175.0,5926009919.0,11570160846.0,4564084428.0,1643191617368.0
