row_label_raw,row_label_full,Tên,Nơi thành lập,Các hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,Tỷ lệ lợi ích sở hữu/ Quyền biểu quyết,Tỷ lệ lợi ích sở hữu/ Quyền biểu quyết_1,numeric__Nơi thành lập,numeric__Các hoạt động chính,numeric__Giấy chứng nhận đăng ký doanh nghiệp,numeric__Tỷ lệ lợi ích sở hữu/ Quyền biểu quyết,numeric__Tỷ lệ lợi ích sở hữu/ Quyền biểu quyết_1
Tên,Tên,Tên,Nơi thành lập,Các hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,31/12/2018,1/1/2018,,,,,
Vietjet Air Singapore Pte. Ltd. (*),Tên > Vietjet Air Singapore Pte. Ltd. (*),Vietjet Air Singapore Pte. Ltd. (*),Singapore,Kinh doanh tàu bay.,Số 201408849N ngày 27 tháng 3 năm 2014,100%,100%,,,,1.0,1.0
Vietjet Air Ireland No. 1 Limited (*),Tên > Vietjet Air Ireland No. 1 Limited (*),Vietjet Air Ireland No. 1 Limited (*),Ireland,Kinh doanh và cho thuê tàu bay.,Số 544879 ngày 3 tháng 6 năm 2014,100%,100%,,,,1.0,1.0
Skymate Limited (*),Tên > Skymate Limited (*),Skymate Limited (*),Cayman Islands,Kinh doanh tàu bay.,Số 327015 ngày 15 tháng 9 năm 2017,100%,100%,,,,1.0,1.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,,,,
Thai Vietjet Air Joint Stock Company Limited (*)(**)(***),Các công ty liên kết > Thai Vietjet Air Joint Stock Company Limited (*)(**)(***),Thai Vietjet Air Joint Stock Company Limited (*)(**)(***),Thái Lan,Cung cấp dịch vụ vận chuyển hàng hóa và hành khách và các dịch vụ liên quan khác.,Số 0105556100551 ngày 25 tháng 6 năm 2013,9%,9%,,,,0.09,0.09
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Các công ty liên kết > Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Việt Nam,Cung cấp các dịch vụ hỗ trợ trực tiếp cho vận chuyển hàng không.,Số 4201676638 ngày 5 tháng 2 năm 2016,10%,10%,,,,0.1,0.1
