row_label_raw,row_label_full,Tên,Nơi thành lập,Các hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,Tỷ lệ lợi ích sở hữu/Quyền biểu quyết,Tỷ lệ lợi ích sở hữu/Quyền biểu quyết_1,numeric__Nơi thành lập,numeric__Các hoạt động chính,numeric__Giấy chứng nhận đăng ký doanh nghiệp,numeric__Tỷ lệ lợi ích sở hữu/Quyền biểu quyết,numeric__Tỷ lệ lợi ích sở hữu/Quyền biểu quyết_1
Tên,Tên,Tên,Nơi thành lập,Các hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,31/12/2018,1/1/2018,,,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,,,
Công ty,Các công ty con > Công ty,Công ty,Việt Nam,Cung cấp dịch vụ vận chuyển hàng hóa và các dịch vụ hỗ trợ liên quan.,Số 0312759089 ngày 27 tháng 8 năm 2014,90%,90%,,,,0.9,0.9
Cổ phầnVietjetAir Cargo,Cổ phầnVietjetAir Cargo,Cổ phầnVietjetAir Cargo,,,,,,,,,,
Vietjet Air IVB No. I Limited (*),Cổ phầnVietjetAir Cargo > Vietjet Air IVB No. I Limited (*),Vietjet Air IVB No. I Limited (*),British Virgin Islands,Kinh doanh và cho thuê tàu bay.,Số 1825671 ngày 27 tháng 5 năm 2014,100%,100%,,,,1.0,1.0
Vietjet Air IVB No. II Limited (*),Cổ phầnVietjetAir Cargo > Vietjet Air IVB No. II Limited (*),Vietjet Air IVB No. II Limited (*),British Virgin Islands,Kinh doanh và cho thuê tàu bay.,Số 1825613 ngày 27 tháng 5 năm 2014,100%,100%,,,,1.0,1.0
