row_label_raw,row_label_full,col_0,Dự phòngchi phí bảo dưỡngVND,Dự phòng hoàn trảtài sản thuêVND,TổngVND,numeric__Dự phòngchi phí bảo dưỡngVND,numeric__Dự phòng hoàn trảtài sản thuêVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,7.351.347.211.467,480.131.321.967,7.831.478.533.434,7351347211467.0,480131321967.0,7831478533434.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,3.267.477.527.187,354.906.941.236,3.622.384.468.423,3267477527187.0,354906941236.0,3622384468423.0
Giá trị thời gian của dòng tiền đãđược chiết khấu,Giá trị thời gian của dòng tiền đãđược chiết khấu,Giá trị thời gian của dòng tiền đãđược chiết khấu,390.473.266.958(777.541.609.892),44.260.128.735-,434.733.395.693(777.541.609.892),,,
Dự phòng sử dụng trong năm,Giá trị thời gian của dòng tiền đãđược chiết khấu > Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(153.811.558.700),(76.074.883.222),(229.886.441.922),-153811558700.0,-76074883222.0,-229886441922.0
Dự phòng xóa số trong năm,Giá trị thời gian của dòng tiền đãđược chiết khấu > Dự phòng xóa số trong năm,Dự phòng xóa số trong năm,(153.811.558.700),(76.074.883.222),(229.886.441.922),-153811558700.0,-76074883222.0,-229886441922.0
Chênh lệch tỷ giá hối đoái,Giá trị thời gian của dòng tiền đãđược chiết khấu > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,173.532.230.469,-,173.532.230.469,173532230469.0,,173532230469.0
Số dư cuối năm,Giá trị thời gian của dòng tiền đãđược chiết khấu > Số dư cuối năm,Số dư cuối năm,10.251.477.067.489,803.223.508.716,11.054.700.576.205,10251477067489.0,803223508716.0,11054700576205.0
Ngắn hạn,Giá trị thời gian của dòng tiền đãđược chiết khấu > Ngắn hạn,Ngắn hạn,1.910.942.285.113,-,1.910.942.285.113,1910942285113.0,,1910942285113.0
Dài hạn,Giá trị thời gian của dòng tiền đãđược chiết khấu > Dài hạn,Dài hạn,8.340.534.782.376,803.223.508.716,9.143.758.291.092,8340534782376.0,803223508716.0,9143758291092.0
,,,10.251.477.067.489,803.223.508.716,11.054.700.576.205,10251477067489.0,803223508716.0,11054700576205.0
