row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá hối đoái VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000.000.000,-,29.673.324.403,1.702.862.911.199,1.485.942.037,4.734.022.177.639,3000000000000.0,,29673324403.0,1702862911199.0,1485942037.0,4734022177639.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,223.880.600.000,1.535.501.732.805,-,-,-,1.759.382.332.805,223880600000.0,1535501732805.0,,,,1759382332805.0
Phát hành cổ phiếu thường từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phiếu thường từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phiếu thường từ nguồn thẳng dư vốn cổ phần,1.289.552.240.000,(1.289.552.240.000),-,-,-,-,1289552240000.0,-1289552240000.0,,,,
Cổ tức bằng tiền,Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,-,(967.164.180.000),-,(967.164.180.000),,,,-967164180000.0,,-967164180000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,5.073.364.224.380,287.189.318,5.073.651.413.698,,,,5073364224380.0,287189318.0,5073651413698.0
Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,-,-,(5.757.226.031),-,-,(5.757.226.031),,,-5757226031.0,,,-5757226031.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,4.513.432.840.000,245.949.492.805,23.916.098.372,5.809.062.955.579,1.773.131.355,10.594.134.518.111,4513432840000.0,245949492805.0,23916098372.0,5809062955579.0,1773131355.0,10594134518111.0
Chia cổ tức bằng cổ phiếu từ nguồn lợi nhuận chưa phân phối (Thuyết minh 26),Chia cổ tức bằng cổ phiếu từ nguồn lợi nhuận chưa phân phối (Thuyết minh 26),Chia cổ tức bằng cổ phiếu từ nguồn lợi nhuận chưa phân phối (Thuyết minh 26),902.680.500.000,-,-,(902.680.500.000),-,-,902680500000.0,,,-902680500000.0,,
Cổ tức bằng tiền (Thuyết minh 26),Cổ tức bằng tiền (Thuyết minh 26),Cổ tức bằng tiền (Thuyết minh 26),-,-,-,(1.985.909.236.000),-,(1.985.909.236.000),,,,-1985909236000.0,,-1985909236000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,5.335.036.357.250,54.119.905,5.335.090.477.155,,,,5335036357250.0,54119905.0,5335090477155.0
Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,-,-,95.187.477.316,-,-,95.187.477.316,,,95187477316.0,,,95187477316.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,5.416.113.340.000,245.949.492.805,119.103.575.688,8.255.509.576.829,1.827.251.260,14.038.503.236.582,5416113340000.0,245949492805.0,119103575688.0,8255509576829.0,1827251260.0,14038503236582.0
