row_label_raw,row_label_full,Bên cho vay,Loại tiền,31/12/2018 VND,1/1/2018 VND,numeric__Loại tiền,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,,,
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan",,,
Khoản vay 1,"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan > Khoản vay 1",Khoản vay 1,USD,1.224.380.942.780,873.584.591.673,,1224380942780.0,873584591673.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,,,
Khoản vay 2,Ngân hàng TMCP Công thương Việt Nam > Khoản vay 2,Khoản vay 2,VND,-,1.913.772.674.679,,,1913772674679.0
Khoản vay 3,Ngân hàng TMCP Công thương Việt Nam > Khoản vay 3,Khoản vay 3,USD,-,1.071.313.513.020,,,1071313513020.0
Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,,,
"Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan",,,
Khoản vay 4,"Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan > Khoản vay 4",Khoản vay 4,VND,150.000.000.000,-,,150000000000.0,
"Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan",,,
