row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2018VND,2017VND,,
Các công ty mà cổ đông có ảnh hưởng đáng kể,Các công ty mà cổ đông có ảnh hưởng đáng kể,Các công ty mà cổ đông có ảnh hưởng đáng kể,Các công ty mà cổ đông có ảnh hưởng đáng kể,Các công ty mà cổ đông có ảnh hưởng đáng kể,,
Phát hành cổ phiếu phổ thông,Các công ty mà cổ đông có ảnh hưởng đáng kể > Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,-,1.894.029.876.000,,1894029876000.0
Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,Các công ty mà cổ đông có ảnh hưởng đáng kể > Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,17.535.922.500.000,7.613.132.376.000,17535922500000.0,7613132376000.0
Thu nhập lãi tiền gửi,Các công ty mà cổ đông có ảnh hưởng đáng kể > Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,156.014.812.926,54.601.970.070,156014812926.0,54601970070.0
Vay,Các công ty mà cổ đông có ảnh hưởng đáng kể > Vay,Vay,13.175.114.570.820,3.551.832.052.518,13175114570820.0,3551832052518.0
Chi phí lãi vay,Các công ty mà cổ đông có ảnh hưởng đáng kể > Chi phí lãi vay,Chi phí lãi vay,27.021.197.486,6.914.005.671,27021197486.0,6914005671.0
Dịch vụ đã cung cấp,Các công ty mà cổ đông có ảnh hưởng đáng kể > Dịch vụ đã cung cấp,Dịch vụ đã cung cấp,15.198.053.711,13.584.156.988,15198053711.0,13584156988.0
Chi phí dịch vụ tư vấn,Các công ty mà cổ đông có ảnh hưởng đáng kể > Chi phí dịch vụ tư vấn,Chi phí dịch vụ tư vấn,1.755.600.000,1.975.600.000,1755600000.0,1975600000.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,
Doanh thu từ cho thuê tàu bay,Các công ty liên kết > Doanh thu từ cho thuê tàu bay,Doanh thu từ cho thuê tàu bay,437.357.960.486,124.219.932.630,437357960486.0,124219932630.0
Doanh thu từ dịch vụ đặt chỗ,Các công ty liên kết > Doanh thu từ dịch vụ đặt chỗ,Doanh thu từ dịch vụ đặt chỗ,79.281.523.500,-,79281523500.0,
"Chi phí chi hộ, dòng tiền chi trả thuần","Các công ty liên kết > Chi phí chi hộ, dòng tiền chi trả thuần","Chi phí chi hộ, dòng tiền chi trả thuần",271.904.372.212,178.391.832.252,271904372212.0,178391832252.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Bán tàu bay,Các bên liên quan khác > Bán tàu bay,Bán tàu bay,1.189.413.958.333,2.314.686.000.000,1189413958333.0,2314686000000.0
Chi phí thuê tàu bay,Các bên liên quan khác > Chi phí thuê tàu bay,Chi phí thuê tàu bay,247.119.461.282,18.115.812.000,247119461282.0,18115812000.0
Đặt cọc quỹ bảo dưỡng tàu bay,Các bên liên quan khác > Đặt cọc quỹ bảo dưỡng tàu bay,Đặt cọc quỹ bảo dưỡng tàu bay,108.477.847.747,-,108477847747.0,
Đặt cọc thuê tàu bay,Các bên liên quan khác > Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,-,36.064.548.000,,36064548000.0
Cho vay,Các bên liên quan khác > Cho vay,Cho vay,-,499.804.692.000,,499804692000.0
Thu nhập lãi vay,Các bên liên quan khác > Thu nhập lãi vay,Thu nhập lãi vay,13.008.622.595,-,13008622595.0,
Dịch vụ đã cung cấp,Các bên liên quan khác > Dịch vụ đã cung cấp,Dịch vụ đã cung cấp,525.273.972.960,259.838.194.701,525273972960.0,259838194701.0
Trả trước chi phí dịch vụ tư vấn,Các bên liên quan khác > Trả trước chi phí dịch vụ tư vấn,Trả trước chi phí dịch vụ tư vấn,443.625.000.000,442.728.000.000,443625000000.0,442728000000.0
Trả trước dịch vụ xây dựng,Các bên liên quan khác > Trả trước dịch vụ xây dựng,Trả trước dịch vụ xây dựng,400.295.994.854,14.601.834.620,400295994854.0,14601834620.0
Vay,Các bên liên quan khác > Vay,Vay,450.000.000.000,-,450000000000.0,
Thanh lý các công ty con,Các bên liên quan khác > Thanh lý các công ty con,Thanh lý các công ty con,16.271.500.000,-,16271500000.0,
"Chi phí chi hộ, dòng tiền chi trả thuần","Các bên liên quan khác > Chi phí chi hộ, dòng tiền chi trả thuần","Chi phí chi hộ, dòng tiền chi trả thuần",35.570.220.230,-,35570220230.0,
"Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát","Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát","Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát","Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát","Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát",,
Chương trình cổ phiếu cho người lao động,"Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát > Chương trình cổ phiếu cho người lao động",Chương trình cổ phiếu cho người lao động,-,124.096.200.000,,124096200000.0
Thù lao và lương,"Thành viên Hội đồng Quản trị,Ban Giám đốc và Ban Kiểm soát > Thù lao và lương",Thù lao và lương,30.932.611.019,15.986.506.107,30932611019.0,15986506107.0
