row_label_raw,row_label_full,Tên > Ông Phạm Ánh Dương,Chức vụ > Chủ tịch HĐQT (miễn nhiệm ngày 20 tháng 6 năm 2022),Năm nay > -,Đơn vị tính: VND > 90.000.000,numeric__Chức vụ > Chủ tịch HĐQT (miễn nhiệm ngày 20 tháng 6 năm 2022),numeric__Năm nay > -,numeric__Đơn vị tính: VND > 90.000.000
Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Chủ tịch HĐQT,180.000.000,150.000.000,,180000000.0,150000000.0
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Phó Chủ tịch HĐQT (miễn nhiệm ngày 20 tháng 6 năm 2022)/Tổng Giám đốc,781.054.923,684.719.153,,781054923.0,684719153.0
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên HĐQT (Bổ nhiệm ngày 15 tháng 5 năm 2023)/Phó Tổng Giám đốc,658.665.691,503.696.058,,658665691.0,503696058.0
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Thành viên HĐQT/ Phó Tổng Giám đốc,763.066.886,674.675.838,,763066886.0,674675838.0
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên HĐQT,120.000.000,120.000.000,,120000000.0,120000000.0
Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Thành viên HĐQT (Bổ nhiệm ngày 20 tháng 6 năm 2022),120.000.000,60.000.000,,120000000.0,60000000.0
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên HĐQT (Miễn nhiệm ngày 15 tháng 5 năm 2023),10.000.000,120.000.000,,10000000.0,120000000.0
Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Phó Tổng Giám đốc (Miễn nhiệm ngày 1 tháng 6 năm 2023),-,110.646.769,,,110646769.0
Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Phó Tổng Giám đốc,408.484.023,470.615.498,,408484023.0,470615498.0
Ông Nguyễn Xuân Cơ,Ông Nguyễn Xuân Cơ,Ông Nguyễn Xuân Cơ,Phó Tổng Giám đốc (Bổ nhiệm ngày 1 tháng 10 năm 2023),134.601.692,-,,134601692.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,3.175.873.215,2.984.353.316,,3175873215.0,2984353316.0
