row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Tăng do mua công ty con,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Chênh lệch tỷ giá,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,Đơn vị tính: VND,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Tăng do mua công ty con,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Chênh lệch tỷ giá,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Đơn vị tính: VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,24.1,1.606.790.217.581,6.429.186.480,6.336.822.550.463,(6.039.936.467.626),2.673.426.605,1.912.778.913.503,,241.0,1606790217581.0,6429186480.0,6336822550463.0,-6039936467626.0,2673426605.0,1912778913503.0,
Vay ngân hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,24.2,224.596.027.397,9.903.768.953,181.494.018.879,(201.105.046.265),255.023.500,215.143.792.464,,242.0,224596027397.0,9903768953.0,181494018879.0,-201105046265.0,255023500.0,215143792464.0,
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,24.3,14.435.200.000,740.072.202,90.000.000.000,(102.270.733.306),40.737.534,2.945.276.430,,243.0,14435200000.0,740072202.0,90000000000.0,-102270733306.0,40737534.0,2945276430.0,
Vay các bên liên quan,Vay ngắn hạn > Vay các bên liên quan,Vay các bên liên quan,24.4,-,-,7.700.000.000,(700.000.000),-,7.000.000.000,,244.0,,,7700000000.0,-700000000.0,,7000000000.0,
Trái phiếu phát hành khác đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành khác đến hạn trả,Trái phiếu phát hành khác đến hạn trả,24.5,42.000.000.000,-,487.625.378.782,(42.000.000.000),-,487.625.378.782,,245.0,42000000000.0,,487625378782.0,-42000000000.0,,487625378782.0,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.887.821.444.978,17.073.027.635,7.103.641.948.124,(6.386.012.247.197),2.969.187.639,2.625.493.361.179,,,1887821444978.0,17073027635.0,7103641948124.0,-6386012247197.0,2969187639.0,2625493361179.0,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,24.2,601.382.545.850,48.397.617.329,1.152.000.000,(398.080.318.359),1.115.196.067,253.967.040.887,,242.0,601382545850.0,48397617329.0,1152000000.0,-398080318359.0,1115196067.0,253967040887.0,
Trái phiếu phát hành cho bên liên quan,Vay dài hạn > Trái phiếu phát hành cho bên liên quan,Trái phiếu phát hành cho bên liên quan,24.4,-,-,104.889.683.395,-,-,104.889.683.395,,244.0,,,104889683395.0,,,104889683395.0,
Trái phiếu phát hành khác,Vay dài hạn > Trái phiếu phát hành khác,Trái phiếu phát hành khác,24.5,640.986.178.162,-,2.849.545.452,(643.835.723.614),-,-,,245.0,640986178162.0,,2849545452.0,-643835723614.0,,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.242.368.724.012,48.397.617.329,108.891.228.847,(1.041.916.041.973),1.115.196.067,358.856.724.282,,,1242368724012.0,48397617329.0,108891228847.0,-1041916041973.0,1115196067.0,358856724282.0,
