row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,494.478.275.088,81.654.273.258,2.851.715.129,20.934.565.772,599.918.829.247,494478275088.0,81654273258.0,2851715129.0,20934565772.0,599918829247.0
- Đầu tư XDCB hoàn thành(*),Nguyên giá: > - Đầu tư XDCB hoàn thành(*),- Đầu tư XDCB hoàn thành(*),863.014.799.237,1.490.491.123,-,-,864.505.290.360,863014799237.0,1490491123.0,,,864505290360.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,2.851.715.129,2.474.962.387,(2.851.715.129),733.268.182,3.208.230.569,2851715129.0,2474962387.0,-2851715129.0,733268182.0,3208230569.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.360.344.789.454,85.619.726.768,-,21.667.833.954,1.467.632.350.176,1360344789454.0,85619726768.0,,21667833954.0,1467632350176.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,63.617.191.861,29.198.507.034,1.653.952.196,8.165.836.295,102.635.487.386,63617191861.0,29198507034.0,1653952196.0,8165836295.0,102635487386.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,33.190.808.342,10.768.183.339,-,2.624.554.392,46.583.546.073,33190808342.0,10768183339.0,,2624554392.0,46583546073.0
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,1.653.952.196,338.271.992,(1.653.952.196),80.201.205,418.473.197,1653952196.0,338271992.0,-1653952196.0,80201205.0,418473197.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,98.461.952.399,40.304.962.365,-,10.870.591.892,149.637.506.656,98461952399.0,40304962365.0,,10870591892.0,149637506656.0
