row_label_raw,row_label_full,Bên vay > Ngắn hạnCông ty An Phát Holdings > Công Ty Cổ Phần Vật Liệu Xây Dương Công nghệ cao An Cường,Mối quan hệ > Công ty mẹ > Công ty cùng Tập đoàn,Số cuối năm (VND) > 14.000.000.000 > 27.000.000.000,Kỳ hạn trả gốc và lãi > Gốc vay đáo hạn vào tháng 12 năm 2024. Lãi vay thu hồi cùng gốc. > Gốc vay đáo hạn từ tháng 1 năm 2024 đến tháng 3 năm 2024.Lãi vay thu hồi cùng gốc.,Lãi suất (%/năm) > 9% > 4% - 6%,Tài sản đảm bảo > Tín chấp,numeric__Mối quan hệ > Công ty mẹ > Công ty cùng Tập đoàn,numeric__Số cuối năm (VND) > 14.000.000.000 > 27.000.000.000,numeric__Kỳ hạn trả gốc và lãi > Gốc vay đáo hạn vào tháng 12 năm 2024. Lãi vay thu hồi cùng gốc. > Gốc vay đáo hạn từ tháng 1 năm 2024 đến tháng 3 năm 2024.Lãi vay thu hồi cùng gốc.,numeric__Lãi suất (%/năm) > 9% > 4% - 6%,numeric__Tài sản đảm bảo > Tín chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,41.000.000.000,,,,,41000000000.0,,,
Dài hạnCông ty An Phát Holdings,Dài hạnCông ty An Phát Holdings,Dài hạnCông ty An Phát Holdings,Công ty mẹ,73.533.000.000,Gốc vay đáo hạn vào tháng 5 năm 2025 đến tháng 11 năm 2025. Lãi vay thu hồi cùng gốc.,"6 - 8,5%",Tín chấp,,73533000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,73.533.000.000,,,,,73533000000.0,,,
