row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu liên quan đến sản xuất và kinh doanh thương mại hạt nhựa và bao bì,Ngắn hạn > Phải thu liên quan đến sản xuất và kinh doanh thương mại hạt nhựa và bao bì,Phải thu liên quan đến sản xuất và kinh doanh thương mại hạt nhựa và bao bì,655.591.185.334,963.603.825.620,655591185334.0,963603825620.0
Phải thu về chuyển nhượng cổ phần (i),Ngắn hạn > Phải thu về chuyển nhượng cổ phần (i),Phải thu về chuyển nhượng cổ phần (i),-,54.492.480.000,,54492480000.0
Phải thu từ cho thuê dài hạn đất và hạ tầng khu công nghiệp,Ngắn hạn > Phải thu từ cho thuê dài hạn đất và hạ tầng khu công nghiệp,Phải thu từ cho thuê dài hạn đất và hạ tầng khu công nghiệp,1.241.804.469,2.231.429.953,1241804469.0,2231429953.0
Phải thu các dịch vụ khác,Ngắn hạn > Phải thu các dịch vụ khác,Phải thu các dịch vụ khác,30.167.083.604,-,30167083604.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,687.000.073.407,1.020.327.735.573,687000073407.0,1020327735573.0
Dự phòng phải thu ngắn hạn khó đòi,Ngắn hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(24.682.993.887),(12.122.838.075),-24682993887.0,-12122838075.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng khác,Trong đó: > Phải thu ngắn hạn từ khách hàng khác,Phải thu ngắn hạn từ khách hàng khác,671.123.477.381,847.053.775.236,671123477381.0,847053775236.0
Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),15.876.596.026,173.273.960.337,15876596026.0,173273960337.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Phải thu từ bên liên quan (Thuyết minh số 35),Dải hạn > Phải thu từ bên liên quan (Thuyết minh số 35),Phải thu từ bên liên quan (Thuyết minh số 35),-,50.167.619.216,,50167619216.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,-,50.167.619.216,,50167619216.0
