row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 9)
Ông Phạm Văn Tuấn,Ông Phạm Văn Tuấn,Ông Phạm Văn Tuấn,Lãnh đạo chủ chốt của Công ty APC,Chi hộ và tạm ứng,11.271.900.082,14.247.524.801,,,11271900082.0,14247524801.0
Ông Phạm Đỗ Huy Cường,Ông Phạm Đỗ Huy Cường,Ông Phạm Đỗ Huy Cường,Lãnh đạo chủ chốt của công ty APH và công ty con,Chi hộ và tạm ứng,3.720.887.500,24.490.000,,,3720887500.0,24490000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Phải thu lãi cho vay,3.450.219.178,-,,,3450219178.0,
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Lãnh đạo chủ chốt của Công ty APC,Chi hộ và tạm ứng,-,9.153.538.058,,,,9153538058.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Phải thu khác,2.829.844.207,3.913.766.265,,,2829844207.0,3913766265.0
,,,,,21.272.850.967,27.339.319.124,,,21272850967.0,27339319124.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,,
Công ty An Phát Holdings,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Phải thu lãi vay và phải thu khác,1.316.851.165,-,,,1316851165.0,
,,,,,1.316.851.165,-,,,1316851165.0,
Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),,,,
Công ty An Phát Holdings,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Mua hàng hóa,15.080.965.175,-,,,15080965175.0,
Công ty Sunrise,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Mua hàng hóa,4.531.619.011,23.738.677.650,,,4531619011.0,23738677650.0
Công ty Suất ăn An Phát,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,Công ty liên kết,Mua hàng hóa,1.952.392.440,1.743.134.280,,,1952392440.0,1743134280.0
Công ty Anbio,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Anbio,Công ty Anbio,Công ty cùng lãnh đạo chủ chốt,Mua hàng hóa,5.694.537.353,8.673.728.102,,,5694537353.0,8673728102.0
Công ty An Cường,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Mua hàng hóa,-,1.304.268.706,,,,1304268706.0
Các bên liên quan khác,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Các bên liên quan khác,Các bên liên quan khác,,,706.968,642.612.392,,,706968.0,642612392.0
,,,,,27.260.220.947,36.102.421.130,,,27260220947.0,36102421130.0
