row_label_raw,row_label_full,Bên vay,Số cuối năm (VND),Nguyên tệ (USD),Kỳ hạn trả gốc và lãi,Lãi suất (%/năm),Tài sản đảm bảo,numeric__Số cuối năm (VND),numeric__Nguyên tệ (USD),numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất (%/năm),numeric__Tài sản đảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,,,
Stafford Logistics Group LLC,Ngắn hạn > Stafford Logistics Group LLC,Stafford Logistics Group LLC,3.417.544.806,141.566,Gốc vay đáo hạn từ tháng 1 năm 2024 đến tháng 5 năm 2024. Lãi vay thu hồi cùng gốc.,10%,Phương tiện vận tải gồm có 4 xe Chasis của bên đi vay,3417544806.0,141566.0,,0.1,
Công ty Cổ Phần Xây Lắp ANI,Ngắn hạn > Công ty Cổ Phần Xây Lắp ANI,Công ty Cổ Phần Xây Lắp ANI,18.459.200.000,,Gốc vay đáo hạn từ tháng 1 năm 2024 đến tháng 6 năm 2024. Lãi vay thu hồi cùng gốc.,"6,5% -7%",Tín chấp,18459200000.0,,,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,21.876.744.806,,,,,21876744806.0,,,,
Dài hạn Longevity Investment LLC,Ngắn hạn > Dài hạn Longevity Investment LLC,Dài hạn Longevity Investment LLC,3.621.150.000,150.000,Gốc vay đáo hạn vào ngày 27 tháng 9 năm 2028. Lãi vay thanh toán hàng năm.,8% - 12%,"Cổ phần của AFC Ecoplastics, LLC thuộc sở hữu của bên đi vay, tương đương mệnh giá 300.000 USD",3621150000.0,150000.0,,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.621.150.000,,,,,3621150000.0,,,,
