row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí xây dựng trích trước,Ngắn hạn > Chi phí xây dựng trích trước,Chi phí xây dựng trích trước,77.766.835.507,5.018.340.575,77766835507.0,5018340575.0
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,20.797.016.062,11.186.849.817,20797016062.0,11186849817.0
Trích trước lương tháng 13,Ngắn hạn > Trích trước lương tháng 13,Trích trước lương tháng 13,28.494.919.162,-,28494919162.0,
Chi phí phải trả khác,Ngắn hạn > Chi phí phải trả khác,Chi phí phải trả khác,6.720.828.897,699.872.130,6720828897.0,699872130.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,133.779.599.628,16.905.062.522,133779599628.0,16905062522.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,124.641.481.273,16.905.062.522,124641481273.0,16905062522.0
Phải trả các bên liên quan (Thuyết minh số 35),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 35),Phải trả các bên liên quan (Thuyết minh số 35),9.138.118.355,-,9138118355.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay phải trả,Dài hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,-,7.317.780.823,,7317780823.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,-,7.317.780.823,,7317780823.0
