row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,,,,
Nguyên vật liệu,Hàng tồn kho liên quan đến sản phẩm nhựa > Nguyên vật liệu,Nguyên vật liệu,309.237.823.261,-,602.084.473.204,-,309237823261.0,,602084473204.0,
Hàng hóa,Hàng tồn kho liên quan đến sản phẩm nhựa > Hàng hóa,Hàng hóa,105.829.648.718,(1.709.929.696),714.320.276.134,(70.380.422.640),105829648718.0,-1709929696.0,714320276134.0,-70380422640.0
Hàng mua đangđĩ đường,Hàng tồn kho liên quan đến sản phẩm nhựa > Hàng mua đangđĩ đường,Hàng mua đangđĩ đường,119.087.327.941,-,109.276.288.141,-,119087327941.0,,109276288141.0,
Thành phẩm,Hàng tồn kho liên quan đến sản phẩm nhựa > Thành phẩm,Thành phẩm,141.164.355.803,-,95.134.015.720,(599.958.753),141164355803.0,,95134015720.0,-599958753.0
"Công cụ, dụngcụ","Hàng tồn kho liên quan đến sản phẩm nhựa > Công cụ, dụngcụ","Công cụ, dụngcụ",28.077.457.814,-,30.950.794.233,-,28077457814.0,,30950794233.0,
Chi phí sản xuấtkinh doanh đởdang,Hàng tồn kho liên quan đến sản phẩm nhựa > Chi phí sản xuấtkinh doanh đởdang,Chi phí sản xuấtkinh doanh đởdang,5.588.020.358,-,5.114.654.886,-,5588020358.0,,5114654886.0,
Hàng gửi bán,Hàng tồn kho liên quan đến sản phẩm nhựa > Hàng gửi bán,Hàng gửi bán,60.896.763.723,-,126.828.572.343,-,60896763723.0,,126828572343.0,
Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,,,,
Chi phí pháttriển hạ tầng khu công nghiệp (*),Hàng tồn kho bất động sản > Chi phí pháttriển hạ tầng khu công nghiệp (*),Chi phí pháttriển hạ tầng khu công nghiệp (*),13.508.761.275,-,177.362.664.580,-,13508761275.0,,177362664580.0,
TỔNG CỘNG,Hàng tồn kho bất động sản > TỔNG CỘNG,TỔNG CỘNG,783.390.158.893,(1.709.929.696),1.861.071.739.241,(70.980.381.393),783390158893.0,-1709929696.0,1861071739241.0,-70980381393.0
