row_label_raw,row_label_full,col_0,Công ty An Vinh,"Công ty An Phat International, Inc.",Công ty Ankor,Tổng cộng,numeric__Công ty An Vinh,"numeric__Công ty An Phat International, Inc.",numeric__Công ty Ankor,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,15.991.554.209,24.819.303.441,-,40.810.857.650,15991554209.0,24819303441.0,,40810857650.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,-,20.431.884.116,20.431.884.116,,,20431884116.0,20431884116.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,15.991.554.209,24.819.303.441,20.431.884.116,61.242.741.766,15991554209.0,24819303441.0,20431884116.0,61242741766.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,3.997.888.552,4.343.378.102,-,8.341.266.654,3997888552.0,4343378102.0,,8341266654.0
- Phân bổ trong năm,Giá trị hao mòn lũy kế: > - Phân bổ trong năm,- Phân bổ trong năm,1.599.155.424,2.481.930.348,1.021.594.206,5.102.679.978,1599155424.0,2481930348.0,1021594206.0,5102679978.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,5.597.043.976,6.825.308.450,1.021.594.206,13.443.946.632,5597043976.0,6825308450.0,1021594206.0,13443946632.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,11.993.665.657,20.475.925.339,-,32.469.590.996,11993665657.0,20475925339.0,,32469590996.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,10.394.510.233,17.993.994.991,19.410.289.910,47.798.795.134,10394510233.0,17993994991.0,19410289910.0,47798795134.0
