row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ,numeric__Số đầu năm > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),1.079.609.986.000,1.079.609.986.000,-,23.656.000.000,23.656.000.000,-,1079609986000.0,1079609986000.0,,23656000000.0,23656000000.0,
Trái phiếu được cam kết mua lại,Trái phiếu được cam kết mua lại,Trái phiếu được cam kết mua lại,-,-,-,425.000.000.000,425.000.000.000,-,,,,425000000000.0,425000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.079.609.986.000,1.079.609.986.000,-,448.656.000.000,448.656.000.000,-,1079609986000.0,1079609986000.0,,448656000000.0,448656000000.0,
