row_label_raw,row_label_full,col_0,col_1,col_2,7.139.672.545,16.445.198.286,numeric__col_1,numeric__col_2,numeric__7.139.672.545,numeric__16.445.198.286
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty An Cường,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Cho vay,27.000.000.000,-,,,27000000000.0,
Công ty An Phát Holdings,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,14.000.000.000,24.000.000.000,,,14000000000.0,24000000000.0
Công ty Ankor,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Ankor,Công ty Ankor,Công ty cùng lãnh đạo chủ chốt đến ngày 30 tháng 6 năm 2023 và là công ty con kể từ ngày này,Cho vay,-,20.213.440.000,,,,20213440000.0
Công ty PBAT,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty PBAT,Công ty PBAT,Công ty liên kết đến ngày 29 tháng 6 năm 2023 và là công ty con kể từ ngày này,Cho vay,-,25.000.000.000,,,,25000000000.0
Công ty Sunrise,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Cho vay,-,1.300.000.000,,,,1300000000.0
Công ty Anbio,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Anbio,Công ty Anbio,Công ty cùng lãnh đạo chủ chốt,Cho vay,-,1.000.000.000,,,,1000000000.0
,,,,,41.000.000.000,71.513.440.000,,,41000000000.0,71513440000.0
Phải thu về cho vay dài hạn (Thuyết minh số 9),Phải thu về cho vay dài hạn (Thuyết minh số 9),Phải thu về cho vay dài hạn (Thuyết minh số 9),Phải thu về cho vay dài hạn (Thuyết minh số 9),Phải thu về cho vay dài hạn (Thuyết minh số 9),Phải thu về cho vay dài hạn (Thuyết minh số 9),Phải thu về cho vay dài hạn (Thuyết minh số 9),,,,
Công ty An Phát Holdings,Phải thu về cho vay dài hạn (Thuyết minh số 9) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,73.533.000.000,-,,,73533000000.0,
,,,,,73.533.000.000,-,,,73533000000.0,
