row_label_raw,row_label_full,Bên liên quanCông ty AnPhát Holdings,Mối quan hệCông ty mẹ,Nội dung nghiệp vụCho vayThu hồi gốc vayLãi cho vayNhận tiền góp vốnNhận chuyển nhượng cổ phầnThanh toán chuyển nhượng cổ phầnMua hàng hóa dịch vụThanh toán tiền hàng và phí dịch vụDoanh thu bán hàng và cung cấp dịch vụThu tiền hàng và dịch vụĐi vayTrả gốc vayChi phí lãi vay,Năm nay468.650.000.000405.117.000.00014.194.578.563-74.200.000.00074.200.000.00019.662.089.74622.487.363.742985.706.045640.093.4881.300.000.0005.170.000.00049.645.479,Đơn vị tính: VND > Năm trước80.900.000.00056.900.000.0001.009.549.042489.600.000.000370.134.030.000-118.105.001.679227.603.728.2625.462.530.1396.000.078.353194.000.000.000194.000.000.0003.803.321.325,numeric__Mối quan hệCông ty mẹ,numeric__Nội dung nghiệp vụCho vayThu hồi gốc vayLãi cho vayNhận tiền góp vốnNhận chuyển nhượng cổ phầnThanh toán chuyển nhượng cổ phầnMua hàng hóa dịch vụThanh toán tiền hàng và phí dịch vụDoanh thu bán hàng và cung cấp dịch vụThu tiền hàng và dịch vụĐi vayTrả gốc vayChi phí lãi vay,numeric__Năm nay468.650.000.000405.117.000.00014.194.578.563-74.200.000.00074.200.000.00019.662.089.74622.487.363.742985.706.045640.093.4881.300.000.0005.170.000.00049.645.479,numeric__Đơn vị tính: VND > Năm trước80.900.000.00056.900.000.0001.009.549.042489.600.000.000370.134.030.000-118.105.001.679227.603.728.2625.462.530.1396.000.078.353194.000.000.000194.000.000.0003.803.321.325
Công ty AnCường,Công ty AnCường,Công ty AnCường,Công ty cùngTập đoàn,Doanh thu bán hàng và cung cấp dịch vụNhận thanh toán tiền hàng hóa dịch vụCho vayLãi cho vayThu hồi gốc vayMua hàng hóa dịch vụThanh toán tiền hàng và phí dịch vụ,93.820.653.601224.542.750.75739.000.000.000205.223.28712.000.000.00025.126.207.56528.724.351.548,354.210.427.292268.536.622.018133.000.000.000133.561.644133.000.000.00011.302.651.28922.536.947.971,,,9.382065360122455e+75,3.5421042729226852e+78
Công ty SunriseCông ty liên kết,Công ty SunriseCông ty liên kết,Công ty SunriseCông ty liên kết,Công ty SunriseCông ty liên kết,Mua hàng hóa dịch vụThanh toán tiền hàng hóa dịch vụDoanh thu bán hàng và cung cấp dịch vụThu tiền hàngCho vayThu hồi gốc vayNhận cổ tức,77.490.096.350104.128.831.92310.766.058.74616.881.987.883-1.300.000.000-,93.954.015.47281.708.089.84910.206.449.2988.340.671.91426.000.000.00024.700.000.0003.360.000.000,,,,9.395401547281707e+74
"Công ty Nhựa, bao bi Vinh","Công ty Nhựa, bao bi Vinh","Công ty Nhựa, bao bi Vinh",Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụThu tiền hàng và phí dịch vụCổ tức được chiaNhận cổ tứcThanh toán tiền hàng,19.032.980.37018.861.776.8444.703.974.2004.703.974.200211.680.000,27.584.461.12034.948.057.2324.703.974.2004.703.974.2003.017.097.020,,,1.903298037018862e+50,2.7584461120349482e+51
