row_label_raw,row_label_full,Bên liên quan > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Mối quan hệ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Nội dung nghiệp vụ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số cuối năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số đầu năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Mối quan hệ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Nội dung nghiệp vụ > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số cuối năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số đầu năm > Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2)
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Mua hàng hóa,6.762.298.003,5.883.512.500,,,6762298003.0,5883512500.0
Công ty VMC,Công ty VMC,Công ty VMC,Công ty cùng Tập đoàn,Mua hàng hóa,239.889.678,-,,,239889678.0,
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Mua hàng hóa,137.484.864,-,,,137484864.0,
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty cùng lãnh đạo chủ chốt,Mua hàng hóa,-,3.228.690.598,,,,3228690598.0
Công ty Ankor,Công ty Ankor,Công ty Ankor,Công ty cùng lãnh đạo chủ chốt đến ngày 30 tháng 6 năm 2023 và là công ty con kể từ ngày này,Mua hàng hóa,-,7.332.995.188,,,,7332995188.0
