row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023,Đơn vị tính: VNDNgày 31 tháng 12năm 2022,numeric__Ngày 31 tháng 12năm 2023,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2022
Dự phòng trợ cấp thất nghiệp,Dự phòng trợ cấp thất nghiệp,Dự phòng trợ cấp thất nghiệp,4.198.200.509,-,4198200509.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.198.200.509,-,4198200509.0,
