row_label_raw,row_label_full,col_0,col_1,col_2,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__col_1,numeric__col_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,,,Tỷ lệ vốnnắm giữ trựctiếp (%),Tỷ lệ quyềnbiểu quyết(%),Tỷ lệ vốnnắm giữ trựctiếp (%),Tỷ lệ quyềnbiểu quyết(%),,,,,,
Tên đơn vị,Tên đơn vị,Tên đơn vị,Địa chỉ,Hoạt động chính,,,,,,,,,,
Công ty Nhựa Hà Nội,Tên đơn vị > Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,"Tổ 12, phường Phúc Lợi, quận Long Biên, thành phố Hà Nội","Sản xuất, kinh doanh các sản phẩm nhựa loại khuôn mẫu","47,44","47,44","47,44","47,44",,,47.44,47.44,47.44,47.44
Công ty Nhựa Bao bì Vinh,Tên đơn vị > Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,"Khối 8, phường Bến Thủy, thành phố Vinh, tỉnh Nghệ An","Sản xuất, mua, bán bao bì xi măng, bao bi PP, PE và các sản phẩm bằng nhựa","34,84","34,84","34,84","34,84",,,34.84,34.84,34.84,34.84
Công ty Sunrise,Tên đơn vị > Công ty Sunrise,Công ty Sunrise,"Lô CN11+CN12, Cụm CN An Đồng, thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh,"36,8",48,"36,8",48,,,36.8,48.0,36.8,48.0
Công ty An Đông,Tên đơn vị > Công ty An Đông,Công ty An Đông,"Lô B1, Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương","Kinh doanh xăng, dầu","18,35","33,8","18,35","33,8",,,18.35,33.8,18.35,33.8
Công ty Cổ phần ANCOP,Tên đơn vị > Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,"Lô B1, Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương","Cung cấp, phân phối nước cho khu công nghiệp","45,59",49,"45,09",49,,,45.59,49.0,45.09,49.0
Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt,Tên đơn vị > Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt,Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt,"BT4 lô E9 Vimexco, đường Phạm Hùng, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội",Xuất bản phần mềm,49,49,49,49,,,49.0,49.0,49.0,49.0
Công ty Suất ăn An Phát,Tên đơn vị > Công ty Suất ăn An Phát,Công ty Suất ăn An Phát,"Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương",Dịch vụ ăn uống,"20,37","37,4","25,05","46,13",,,20.37,37.4,25.05,46.13
Công ty Cổ phần Sản xuất PBAT An Phát,Tên đơn vị > Công ty Cổ phần Sản xuất PBAT An Phát,Công ty Cổ phần Sản xuất PBAT An Phát,"Lô CN5-04 Khu Phi thuê quan và Khu Công nghiệp Nam Đình Vũ thuộc Khu Kinh tế Đình Vũ - Cát Hải, phường Đông Hải 2, quận Hải An, thành phố Hải Phòng",Sản xuất sản phẩm từ plastic và cao su tổng hợp dạng nguyên sinh,-,-,"18,11","30,34",,,,,18.11,30.34
