row_label_raw,row_label_full,col_0,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,30.530.014.143,-,-,-,-,30.788.014.143,30530014143.0,,,,,30788014143.0
Chi phí xây dựng cơ bản dở dang,Các thông tin bộ phận khác > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,447.975.899.702,-,-,-,-,447.975.899.702,447975899702.0,,,,,447975899702.0
Bất động sản đầu tư,Các thông tin bộ phận khác > Bất động sản đầu tư,Bất động sản đầu tư,864.505.290.360,,,,,864.505.290.360,864505290360.0,,,,,864505290360.0
Khẩu hao và hao mòn,Các thông tin bộ phận khác > Khẩu hao và hao mòn,Khẩu hao và hao mòn,315.578.012.683,-,4.830.175.379,-,-,320.408.188.062,315578012683.0,,4830175379.0,,,320408188062.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,1.091.218.601.635,728.470.212.641,1.659.453.032.220,32.604.424.817,(86.344.519.408),3.425.401.751.905,1091218601635.0,728470212641.0,1659453032220.0,32604424817.0,-86344519408.0,3425401751905.0
Tài sản không phân bổ (v),Tài sản và công nợ > Tài sản không phân bổ (v),Tài sản không phân bổ (v),,,,,,8.158.043.754.002,,,,,,8158043754002.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,11.583.445.505.907,,,,,,11583445505907.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,411.886.458.812,282.706.223.156,1.620.006.588.106,20.205.151.608,(83.889.159.928),2.250.915.261.754,411886458812.0,282706223156.0,1620006588106.0,20205151608.0,-83889159928.0,2250915261754.0
Công nợ không phân bổ (vi),Tài sản và công nợ > Công nợ không phân bổ (vi),Công nợ không phân bổ (vi),,,,,,3.368.659.303.948,,,,,,3368659303948.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,5.619.574.565.702,,,,,,5619574565702.0
