row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dungnghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dungnghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa và cung cấp dịch vụ,4.907.653.599,126.247.685.395,,,4907653599.0,126247685395.0
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty cùng lãnh đạo chủ chốt,Bán hàng hóa,3.781.799.955,9.168.092.592,,,3781799955.0,9168092592.0
Công ty Ankor,Công ty Ankor,Công ty Ankor,Công ty cùng lãnh đạo chủ chốt đến ngày 30 tháng 6 năm 2023 và là công ty con kể từ ngày này,Bán hàng hóa và cung cấp dịch vụ,-,28.747.053.176,,,,28747053176.0
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụ,3.019.942.500,4.119.425.220,,,3019942500.0,4119425220.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Bán hàng hóa và cung cấp dịch vụ,1.406.603.567,3.575.467.256,,,1406603567.0,3575467256.0
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụ,792.842.364,87.450.000,,,792842364.0,87450000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Bán hàng hóa và dịch vụ cho thuê xe,442.750.000,8.704.800,,,442750000.0,8704800.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Bán hàng hóa và cung cấp dịch vụ,1.525.004.041,1.320.081.898,,,1525004041.0,1320081898.0
,,,,,15.876.596.026,173.273.960.337,,,15876596026.0,173273960337.0
Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),,,,
Công ty Ankor,Phải thu dài hạn của khách hàng (Thuyết minh số 7.1) > Công ty Ankor,Công ty Ankor,Công ty cùng lãnh đạo chủ chốt đến ngày 30 tháng 6 năm 2023 và là công ty con kể từ ngày này,Bán máy móc,-,50.167.619.216,,,,50167619216.0
,,,,,-,50.167.619.216,,,,50167619216.0
