row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thăng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.822.744.960.000,823.946.323.817,44.744.930.000,13.104.043.604,80.481.616.464,13.177.404.323,721.688.030.767,651.298.108.490,6.171.185.417.465,3822744960000.0,823946323817.0,44744930000.0,13104043604.0,80481616464.0,13177404323.0,721688030767.0,651298108490.0,6171185417465.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,-,289.410.548.684,19.783.274.450,309.193.823.134,,,,,,,289410548684.0,19783274450.0,309193823134.0
- Trích quỹ khen thưởng phúc lợi (i),Năm nay > - Trích quỹ khen thưởng phúc lợi (i),- Trích quỹ khen thưởng phúc lợi (i),-,-,-,-,-,-,(8.757.281.326),(585.484.545),(9.342.765.871),,,,,,,-8757281326.0,-585484545.0,-9342765871.0
- Chia cổ tức bằng tiền,Năm nay > - Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(104.000.000),(104.000.000),,,,,,,,-104000000.0,-104000000.0
- Mua công ty con,Năm nay > - Mua công ty con,- Mua công ty con,-,-,-,-,-,-,-,(20.405.832.747),(20.405.832.747),,,,,,,,-20405832747.0,-20405832747.0
- Mua công ty con cùng chịu sự kiểm soát chung,Năm nay > - Mua công ty con cùng chịu sự kiểm soát chung,- Mua công ty con cùng chịu sự kiểm soát chung,-,-,(25.993.638.466),-,-,-,-,164.566.073.182,138.572.434.716,,,-25993638466.0,,,,,164566073182.0,138572434716.0
- Thay đổi do tăng tỷ lệ sở hữu tại các công ty con,Năm nay > - Thay đổi do tăng tỷ lệ sở hữu tại các công ty con,- Thay đổi do tăng tỷ lệ sở hữu tại các công ty con,-,-,-,-,-,-,(427.472.919.953),(198.801.416.222),(626.274.336.175),,,,,,,-427472919953.0,-198801416222.0,-626274336175.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con ở nước ngoài,Năm nay > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con ở nước ngoài,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con ở nước ngoài,-,-,-,9.337.385.640,-,-,-,3.757.141.153,13.094.526.793,,,,9337385640.0,,,,3757141153.0,13094526793.0
- Giám khác,Năm nay > - Giám khác,- Giám khác,-,-,-,-,-,-,(12.245.872.367),197.545.282,(12.048.327.085),,,,,,,-12245872367.0,197545282.0,-12048327085.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.822.744.960.000,823.946.323.817,18.751.291.534,22.441.429.244,80.481.616.464,13.177.404.323,562.622.505.805,619.705.409.043,5.963.870.940.230,3822744960000.0,823946323817.0,18751291534.0,22441429244.0,80481616464.0,13177404323.0,562622505805.0,619705409043.0,5963870940230.0
