row_label_raw,row_label_full,Bên cho vay > Ông Heonyoung Lim > Công ty Cổ phần Vietpoint Capital,Ngày 31 tháng 12 năm 2023 > (VND) > 773.584.906 > 2.171.691.524,Ngày 31 tháng 12 năm 2023 > Nguyên tệ > 41.000.000 KRW > 100.000 USD,"Kỳ hạn trả gốc và lãi > Gốc vay đảo hạn vào tháng 12 năm 2024. Lãi vay trả hàng năm. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 12 tháng. Gốc và lãi vay được trả vào tháng 6 năm 2024.","Lãi suất (%/năm) > 2,5% > 10%",Hình thức đảm bảo > Tín chấp,numeric__Ngày 31 tháng 12 năm 2023 > (VND) > 773.584.906 > 2.171.691.524,numeric__Ngày 31 tháng 12 năm 2023 > Nguyên tệ > 41.000.000 KRW > 100.000 USD,"numeric__Kỳ hạn trả gốc và lãi > Gốc vay đảo hạn vào tháng 12 năm 2024. Lãi vay trả hàng năm. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 12 tháng. Gốc và lãi vay được trả vào tháng 6 năm 2024.","numeric__Lãi suất (%/năm) > 2,5% > 10%",numeric__Hình thức đảm bảo > Tín chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.945.276.430,,,,,2945276430.0,,,,
24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,24.4 Vay bên liên quan và trái phiếu phát hành cho bên liên quan,,,,,
Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,Chi tiết khoản vay ngắn hạn bên liên quan được trình bày như sau:,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Mối quan hệ,Ngày 31 tháng 12 năm 2023 (VND),Kỳ hạn trả gốc và lãi,Lãi suất (%/năm),Hình thức đảm bảo,,,,,
Công ty Nhựa Hà Nội,Bên cho vay > Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,7.000.000.000,Gốc và lãi vay được trả vào ngày 4 tháng 5 năm 2024.,"7,5%",Tín chấp,,7000000000.0,,0.075,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,,7.000.000.000,,,,,7000000000.0,,,
