row_label_raw,row_label_full,Ngân hàng,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023_1,Kỳ hạn trả gốc và lãi vay,Lãi suất (%/năm),Hình thức đảm bảo,numeric__Ngày 31 tháng 12 năm 2023,numeric__Ngày 31 tháng 12 năm 2023_1,numeric__Kỳ hạn trả gốc và lãi vay,numeric__Lãi suất (%/năm),numeric__Hình thức đảm bảo
,,,VND,Nguyên tệ,,,,,,,,
Các khoản vay ngân hàng bằng VND,Các khoản vay ngân hàng bằng VND,Các khoản vay ngân hàng bằng VND,1.376.243.377.326,,"Thời hạn vay theo từng khế ước, từ 4 đến 8 tháng. Lãi vay trả hàng tháng. Gốc vay đáo hạn lần cuối vào tháng 11 năm 2024.","2,6% - 10%",(i),1376243377326.0,,,,
Các khoản vay ngân hàng bằng USD,Các khoản vay ngân hàng bằng USD,Các khoản vay ngân hàng bằng USD,528.104.893.835,21.631.590 USD,"Thời hạn vay theo từng khế ước, từ 5 đến 8 tháng. Lãi vay trả hàng tháng hoặc hàng quý. Gốc vay đáo hạn lần cuối vào tháng 8 năm 2024.","3,4% - 6,73%",(i),528104893835.0,,,,
Các khoản vay ngân hàng bằng KRW,Các khoản vay ngân hàng bằng KRW,Các khoản vay ngân hàng bằng KRW,8.430.642.342,267.601 KRW,"Thời hạn vay theo từng khế ước, từ 3 đến 6 tháng. Lãi vay trả hàng tháng. Gốc vay đáo hạn lần cuối vào tháng 6 năm 2024.","4,2% - 5,0%",(i),8430642342.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.912.778.913.503,,,,,1912778913503.0,,,,
