row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng giá trị đầu tư > Giảm giá trị đầu tư,Công ty Nhựa Hà Nội > Giá trị đầu tư: > 1.014.494.728.614 > -,Công ty Nhựa bao bì Vinh > Giá trị đầu tư: > 74.316.719.775 > -,Công ty Sunrise > Giá trị đầu tư: > 24.000.000.000 > -,Công ty An Đông > Giá trị đầu tư: > 6.600.000.000 > -,Công ty Cổ phần ANCOP > Giá trị đầu tư: > 980.000.000 > -,Công ty Cổ phần Giải pháp và Dịch vụ Phân mềm Nam Việt > Giá trị đầu tư: > 54.392.479.452 > -,Công ty Cổ phần Sản xuất PBAT An Phát > Giá trị đầu tư: > 168.014.000.000 > 110.200.000.000 > -,Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát > Giá trị đầu tư: > 41.100.000.000 > 15.000.000.000 > (11.700.000.000),Tổng cộng > Giá trị đầu tư: > 1.383.897.927.841 > 125.200.000.000 > (11.700.000.000),numeric__Công ty Nhựa Hà Nội > Giá trị đầu tư: > 1.014.494.728.614 > -,numeric__Công ty Nhựa bao bì Vinh > Giá trị đầu tư: > 74.316.719.775 > -,numeric__Công ty Sunrise > Giá trị đầu tư: > 24.000.000.000 > -,numeric__Công ty An Đông > Giá trị đầu tư: > 6.600.000.000 > -,numeric__Công ty Cổ phần ANCOP > Giá trị đầu tư: > 980.000.000 > -,numeric__Công ty Cổ phần Giải pháp và Dịch vụ Phân mềm Nam Việt > Giá trị đầu tư: > 54.392.479.452 > -,numeric__Công ty Cổ phần Sản xuất PBAT An Phát > Giá trị đầu tư: > 168.014.000.000 > 110.200.000.000 > -,numeric__Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát > Giá trị đầu tư: > 41.100.000.000 > 15.000.000.000 > (11.700.000.000),numeric__Tổng cộng > Giá trị đầu tư: > 1.383.897.927.841 > 125.200.000.000 > (11.700.000.000)
Giảm do chuyên thành công ty con,Giảm do chuyên thành công ty con,Giảm do chuyên thành công ty con,-,-,-,-,-,-,(278.214.000.000),-,(278.214.000.000),,,,,,,-278214000000.0,,-278214000000.0
Số cuối năm,Số cuối năm,Số cuối năm,1.014.494.728.614,74.316.719.775,24.000.000.000,6.600.000.000,980.000.000,54.392.479.452,-,44.400.000.000,1.219.183.927.841,1014494728614.0,74316719775.0,24000000000.0,6600000000.0,980000000.0,54392479452.0,,44400000000.0,1219183927841.0
Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,,,,,,,,,
Số đầu năm,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Số đầu năm,Số đầu năm,74.312.431.707,5.426.871.770,323.098.833,-,-,-,13.207.337,-,80.075.609.647,74312431707.0,5426871770.0,323098833.0,,,,13207337.0,,80075609647.0
Phần lợi nhuận/(lỗ) từ công ty liên kết,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Phần lợi nhuận/(lỗ) từ công ty liên kết,Phần lợi nhuận/(lỗ) từ công ty liên kết,45.125.485.494,9.703.053.864,4.155.091.154,-,-,152.080.931,(8.480.211.486),2.285.632.808,52.941.132.765,45125485494.0,9703053864.0,4155091154.0,,,152080931.0,-8480211486.0,2285632808.0,52941132765.0
Trích quỹ khen thưởng phúc lợi,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,(4.743.758.782),(4.795.206.795),-,-,-,-,-,-,(9.538.965.577),-4743758782.0,-4795206795.0,,,,,,,-9538965577.0
Cổ tức đã chia trong năm,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Cổ tức đã chia trong năm,Cổ tức đã chia trong năm,(17.286.257.000),(4.703.974.200),-,-,-,(1.029.000.000),-,-,(23.019.231.200),-17286257000.0,-4703974200.0,,,,-1029000000.0,,,-23019231200.0
Giảm do chuyên thành công ty con,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Giảm do chuyên thành công ty con,Giảm do chuyên thành công ty con,-,-,-,-,-,-,8.467.004.149,-,8.467.004.149,,,,,,,8467004149.0,,8467004149.0
Số cuối năm,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Số cuối năm,Số cuối năm,97.407.901.419,5.630.744.639,4.478.189.987,-,-,(876.919.069),-,2.285.632.808,108.925.549.784,97407901419.0,5630744639.0,4478189987.0,,,-876919069.0,,2285632808.0,108925549784.0
Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,,,,,,,,,
