row_label_raw,row_label_full,col_0,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo)_1,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo)_1
,,,Tài sản,Công nợ,,
,,,Triệu VND,Triệu VND,,
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,82.891,-,82891.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,82.891,-,82891.0,
- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,82.891,,82891.0,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,35.812,-,35812.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,35.812,-,35812.0,
- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,35.812,-,35812.0,
8 . Cho vay khách hàng,8 . Cho vay khách hàng,8 . Cho vay khách hàng,8 . Cho vay khách hàng,8 . Cho vay khách hàng,,
,,,31/12/2018,31/12/2017,,
,,,Triệu VND,Triệu VND,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước (*)","8 . Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước (*)","Cho vay các tổ chức kinh tế, cá nhân trong nước (*)",63.976.304,55.459.862,63976304.0,55459862.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,8 . Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,-,23.606,,23606.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","8 . Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",500,500,500.0,500.0
Cho vay theo chỉ định của Chính phủ,8 . Cho vay khách hàng > Cho vay theo chỉ định của Chính phủ,Cho vay theo chỉ định của Chính phủ,2.611,3.605,2611.0,3605.0
,,,63.979.415,55.487.573,63979415.0,55487573.0
