row_label_raw,row_label_full,Chỉ tiêu > Số dư đầu năm > Tăng trong năm > Tăng vốn trong năm (i) > Lợi nhuận tăng trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Vốn góp/Vốn điều lệ > Triệu VND > 5.000.000 > 500.000 > -,Thặng dư vốn cổ phần > Triệu VND > 7.398 > -,Quỹ Đầu tư phát triển > Triệu VND > 564 > -,Quỹ Dự phòng tài chính > Triệu VND > 211.196 > 58.562 > - > 58.562,Quỹ dự trữ bổ sung vốn điều lệ > Triệu VND > 100.412 > 29.281 > - > 29.281,Lợi nhuận sau thuế > Triệu VND > 1.055.042 > 677.213 > - > 677.210 > -,Cộng > Triệu VND > 6.374.612 > 1.265.056 > 500.000 > 677.210 > 87.843,numeric__Vốn góp/Vốn điều lệ > Triệu VND > 5.000.000 > 500.000 > -,numeric__Thặng dư vốn cổ phần > Triệu VND > 7.398 > -,numeric__Quỹ Đầu tư phát triển > Triệu VND > 564 > -,numeric__Quỹ Dự phòng tài chính > Triệu VND > 211.196 > 58.562 > - > 58.562,numeric__Quỹ dự trữ bổ sung vốn điều lệ > Triệu VND > 100.412 > 29.281 > - > 29.281,numeric__Lợi nhuận sau thuế > Triệu VND > 1.055.042 > 677.213 > - > 677.210 > -,numeric__Cộng > Triệu VND > 6.374.612 > 1.265.056 > 500.000 > 677.210 > 87.843
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,3,3,,,,,,3.0,3.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,(557.212),(557.212),,,,,,-557212.0,-557212.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,-,-,(95.163),(95.163),,,,,,-95163.0,-95163.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,-,-,(462.049),(462.049),,,,,,-462049.0,-462049.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.500.000,7.398,564,269.758,129.693,1.175.043,7.082.456,5500000.0,7398.0,564.0,269758.0,129693.0,1175043.0,7082456.0
