row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,,602.472,,602472.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"15,55",93.699,15.55,93699.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,"4,86",29.281,4.86,29281.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"9,72",58.562,9.72,58562.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"0,49",2.928,0.49,2928.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"0,49",2.928,0.49,2928.0
Thù lao HDQT và BKS,Thù lao HDQT và BKS,Thù lao HDQT và BKS,"0,24",1.464,0.24,1464.0
Thường cổ phiếu cho CBCNV (*),Thường cổ phiếu cho CBCNV (*),Thường cổ phiếu cho CBCNV (*),"8,30",50.000,8.3,50000.0
"Chia cổ tức bằng cổ phiếu cho cổ đông (8,8% vốn điều lệ) (*)","Chia cổ tức bằng cổ phiếu cho cổ đông (8,8% vốn điều lệ) (*)","Chia cổ tức bằng cổ phiếu cho cổ đông (8,8% vốn điều lệ) (*)","73,11",440.453,73.11,440453.0
