row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quá hạn > Trên 03 tháng > Triệu VND,Quá hạn > Đến 03 tháng > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ trên 01 đến 03 tháng > Triệu VND,Trong hạn > Từ trên 03 đến 12 tháng > Triệu VND,Trong hạn > Từ trên 01 đến 05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Chỉ tiêu_1,numeric__Quá hạn > Trên 03 tháng > Triệu VND,numeric__Quá hạn > Đến 03 tháng > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ trên 01 đến 03 tháng > Triệu VND,numeric__Trong hạn > Từ trên 03 đến 12 tháng > Triệu VND,numeric__Trong hạn > Từ trên 01 đến 05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quý",-,-,460.335,-,-,-,-,460.335,,,,460335.0,,,,,460335.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,512.340,-,-,-,-,512.340,,,,512340.0,,,,,512340.0
III,TÀI SẢN > III,III,"Tiền, vàng gửi và cho vay các TCTD khác (*)",-,-,5.186.034,5.640.200,-,-,-,10.826.234,,,,5186034.0,5640200.0,,,,10826234.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,2.099.151,-,-,-,-,2.099.151,,,,2099151.0,,,,,2099151.0
V,TÀI SẢN > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,82.891,-,-,-,-,82.891,,,,82891.0,,,,,82891.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),53.559,476.619,7.355.985,6.267.838,13.097.470,27.379.768,9.348.176,63.979.415,,53559.0,476619.0,7355985.0,6267838.0,13097470.0,27379768.0,9348176.0,63979415.0
VII,TÀI SẢN > VII,VII,Chứng khoán đầu tư (*),-,-,500.157,400.289,100.000,9.247.043,5.738.496,15.985.985,,,,500157.0,400289.0,100000.0,9247043.0,5738496.0,15985985.0
VIII,TÀI SẢN > VIII,VIII,"Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,303.672,-,303.672,,,,,,,303672.0,,303672.0
IX,TÀI SẢN > IX,IX,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,130.434,532.124,662.558,,,,,,,130434.0,532124.0,662558.0
X,TÀI SẢN > X,X,Tài sản có khác (*),-,-,302.274,1.214.880,1.518.600,-,-,3.035.754,,,,302274.0,1214880.0,1518600.0,,,3035754.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,53.559,476.619,16.499.167,13.523.207,14.716.070,37.060.917,15.618.796,97.948.335,,53559.0,476619.0,16499167.0,13523207.0,14716070.0,37060917.0,15618796.0,97948335.0
