row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,,,,,,,,,,
III. Tài sản (*),III. Tài sản (*),III. Tài sản (*),94.544.881,90.436.194,432.823,423.470,138.875,50.604,2.831.756,1.840.314,97.948.335,92.750.582,94544881.0,90436194.0,432823.0,423470.0,138875.0,50604.0,2831756.0,1840314.0,97948335.0,92750582.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,-,-,-,-,-,-,460.335,503.505,460.335,503.505,,,,,,,460335.0,503505.0,460335.0,503505.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,-,-,-,-,-,-,512.340,483.537,512.340,483.537,,,,,,,512340.0,483537.0,512340.0,483537.0
3. Tiền gửi và cho vay các TCTD khác (*),3. Tiền gửi và cho vay các TCTD khác (*),3. Tiền gửi và cho vay các TCTD khác (*),9.766.116,13.039.871,-,-,-,-,1.060.118,85.074,10.826.234,13.124.945,9766116.0,13039871.0,,,,,1060118.0,85074.0,10826234.0,13124945.0
4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,1.970.000,1.000.000,129.151,135.820,-,-,-,-,2.099.151,1.135.820,1970000.0,1000000.0,129151.0,135820.0,,,,,2099151.0,1135820.0
5. Các công cụ tài chínhphái sinh và các tài sản tài chính khác (*),5. Các công cụ tài chínhphái sinh và các tài sản tài chính khác (*),5. Các công cụ tài chínhphái sinh và các tài sản tài chính khác (*),-,-,-,-,82.891,35.812,-,-,82.891,35.812,,,,,82891.0,35812.0,,,82891.0,35812.0
6. Cho vay khách hàng (*),6. Cho vay khách hàng (*),6. Cho vay khách hàng (*),63.979.415,55.487.573,-,-,-,-,-,-,63.979.415,55.487.573,63979415.0,55487573.0,,,,,,,63979415.0,55487573.0
7. Chứng khoán đầu tư (*),7. Chứng khoán đầu tư (*),7. Chứng khoán đầu tư (*),15.985.985,18.406.399,-,-,-,-,-,-,15.985.985,18.406.399,15985985.0,18406399.0,,,,,,,15985985.0,18406399.0
"8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,303.672,287.650,-,-,-,-,303.672,287.650,,,303672.0,287650.0,,,,,303672.0,287650.0
9. Tài sản cổ định và bất động sản đầu tư,9. Tài sản cổ định và bất động sản đầu tư,9. Tài sản cổ định và bất động sản đầu tư,-,-,-,-,7.802,8.987,654.756,655.601,662.558,664.588,,,,,7802.0,8987.0,654756.0,655601.0,662558.0,664588.0
10. Tài sản Có khác (*),10. Tài sản Có khác (*),10. Tài sản Có khác (*),2.843.365,2.502.351,-,-,48.182,5.805,144.207,112.597,3.035.754,2.620.753,2843365.0,2502351.0,,,48182.0,5805.0,144207.0,112597.0,3035754.0,2620753.0
