row_label_raw,row_label_full,Ông Hoàng Phương,Trường ban Kiểm soát,numeric__Trường ban Kiểm soát
Bà Nguyễn Thu Trang,Bà Nguyễn Thu Trang,Bà Nguyễn Thu Trang,Thành viên Ban kiểm soát,
Ông Lê Văn Kiều,Ông Lê Văn Kiều,Ông Lê Văn Kiều,Thành viên Ban kiểm soát,
