row_label_raw,row_label_full,CHÌ TIÊU,CHÌ TIÊU_1,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__CHÌ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,1.704.852.058.511,1.371.624.330.029,,300.0,,1704852058511.0,1371624330029.0
I.,I.,I.,Nợ ngắn hạn,310,,908.776.058.511,780.692.330.029,,310.0,,908776058511.0,780692330029.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,7.505.045.706,22.120.418.259,,311.0,15.0,7505045706.0,22120418259.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,1.574.909.091,274.909.091,,312.0,,1574909091.0,274909091.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,21.915.681.020,16.683.345.542,,313.0,16.0,21915681020.0,16683345542.0
4.,4.,4.,Phải trả người lao động,314,,8.952.339.329,10.565.848.186,,314.0,,8952339329.0,10565848186.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,33.532.799.187,34.134.056.580,,315.0,17.0,33532799187.0,34134056580.0
6.,6.,6.,Phải trả ngắn hạn khác,319,18,307.033.859.655,254.356.045.867,,319.0,18.0,307033859655.0,254356045867.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,19,528.261.424.523,442.557.706.504,,320.0,19.0,528261424523.0,442557706504.0
II.,II.,II.,Nợ dài hạn,330,,796.076.000.000,590.932.000.000,,330.0,,796076000000.0,590932000000.0
1.,1.,1.,Phải trả dài hạn khác,337,18,476.000.000,475.000.000,,337.0,18.0,476000000.0,475000000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,19,795.600.000.000,590.457.000.000,,338.0,19.0,795600000000.0,590457000000.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,5.289.631.715.220,5.220.923.112.875,,400.0,,5289631715220.0,5220923112875.0
I.,I.,I.,Vốn chủ sở hữu,410,20,5.289.631.715.220,5.220.923.112.875,,410.0,20.0,5289631715220.0,5220923112875.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,4.494.352.050.000,4.494.352.050.000,,411.0,,4494352050000.0,4494352050000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.494.352.050.000,4.494.352.050.000,,,,4494352050000.0,4494352050000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,13.054.455.000,13.054.455.000,,412.0,,13054455000.0,13054455000.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,782.225.210.220,713.516.607.875,,421.0,,782225210220.0,713516607875.0
3.,3.,3.,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,713.516.607.875,657.801.507.287,,,,713516607875.0,657801507287.0
3.,3.,3.,- LNST chưa phân phối năm nay,421b,,68.708.602.345,55.715.100.588,,,,68708602345.0,55715100588.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,6.994.483.773.731,6.592.547.442.904,,440.0,,6994483773731.0,6592547442904.0
