row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,100,,1.959.232.813.454,1.665.762.405.239,100.0,,1959232813454.0,1665762405239.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,94.700.606.775,106.983.017.179,110.0,,94700606775.0,106983017179.0
1. Tiền,1. Tiền,1. Tiền,111,5,94.700.606.775,106.983.017.179,111.0,5.0,94700606775.0,106983017179.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,20.251.851.946,21.143.123.288,120.0,,20251851946.0,21143123288.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,20.251.851.946,21.143.123.288,123.0,6.0,20251851946.0,21143123288.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.726.445.195.198,1.396.169.834.453,130.0,,1726445195198.0,1396169834453.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,95.730.584.907,202.613.227.368,131.0,7.0,95730584907.0,202613227368.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,369.386.247.218,297.975.537.324,132.0,8.0,369386247218.0,297975537324.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,9,234.500.000.000,-,135.0,9.0,234500000000.0,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,10,1.026.828.363.073,895.581.069.761,136.0,10.0,1026828363073.0,895581069761.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,113.848.088.635,124.917.035.965,140.0,11.0,113848088635.0,124917035965.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,113.848.088.635,124.917.035.965,141.0,,113848088635.0,124917035965.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,3.987.070.900,16.549.394.354,150.0,,3987070900.0,16549394354.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,1.789.878.931,6.014.859.094,151.0,12.0,1789878931.0,6014859094.0
