row_label_raw,row_label_full,CHỈ TIÊU,Mãsố,31/12/2024 > VND,01/01/2025Trình bày lại > VND,Chênh lệch > VND,numeric__Mãsố,numeric__31/12/2024 > VND,numeric__01/01/2025Trình bày lại > VND,numeric__Chênh lệch > VND
BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,,,,
Phải thu ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,956.031.069.761,895.581.069.761,(60.450.000.000),136.0,956031069761.0,895581069761.0,-60450000000.0
Chi phí trả trước dài hạn,BẢNG CẦN ĐỐI KẾ TOÁN > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,47.485.902.386,109.296.960.591,61.811.058.205,261.0,47485902386.0,109296960591.0,61811058205.0
TỔNG CỘNG TÀI SẢN,BẢNG CẦN ĐỐI KẾ TOÁN > TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,,6.590.402.453.093,6.591.763.511.298,1.361.058.205,,6590402453093.0,6591763511298.0,1361058205.0
Thuế và các khoản phải nộp Nhà nước,BẢNG CẦN ĐỐI KẾ TOÁN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,16.411.133.901,16.683.345.542,272.211.641,313.0,16411133901.0,16683345542.0,272211641.0
LNST chưa phân phối năm nay,BẢNG CẦN ĐỐI KẾ TOÁN > LNST chưa phân phối năm nay,LNST chưa phân phối năm nay,421b,54.626.254.024,55.715.100.588,1.088.846.564,,54626254024.0,55715100588.0,1088846564.0
TỔNG CỘNG NGUỒN VỐN,BẢNG CẦN ĐỐI KẾ TOÁN > TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,,6.590.402.453.093,6.591.763.511.298,1.361.058.205,,6590402453093.0,6591763511298.0,1361058205.0
CHỈ TIÊU,CHỈ TIÊU,CHỈ TIÊU,Mãsố,Năm 2024,Năm 2024Trình bày lại,Chênh lệch,,,,
CHỈ TIÊU,CHỈ TIÊU,CHỈ TIÊU,Mãsố,VND,VND,VND,,,,
BẢO CẢO KẾT QUẢ KINH DOANH,BẢO CẢO KẾT QUẢ KINH DOANH,BẢO CẢO KẾT QUẢ KINH DOANH,BẢO CẢO KẾT QUẢ KINH DOANH,BẢO CẢO KẾT QUẢ KINH DOANH,BẢO CẢO KẾT QUẢ KINH DOANH,BẢO CẢO KẾT QUẢ KINH DOANH,,,,
