row_label_raw,row_label_full,Trong vòng một năm > Trong năm thứ hai > Từ năm thứ ba đến năm thứ năm > Sau năm năm,Số cuối nămVND > 420.235.798.052 > 458.341.282.972 > 1.380.990.872.804 > 397.957.825.625,Số đầu nămVND > 350.211.262.049 > 438.023.992.547 > 1.024.842.627.443 > 194.277.547.206,numeric__Số cuối nămVND > 420.235.798.052 > 458.341.282.972 > 1.380.990.872.804 > 397.957.825.625,numeric__Số đầu nămVND > 350.211.262.049 > 438.023.992.547 > 1.024.842.627.443 > 194.277.547.206
,,,2.657.525.779.453,2.007.355.429.245,2657525779453.0,2007355429245.0
Trừ: số phải trả trong vòng 12 tháng,Trừ: số phải trả trong vòng 12 tháng,Trừ: số phải trả trong vòng 12 tháng,(420.235.798.052),(350.211.262.049),-420235798052.0,-350211262049.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,2.237.289.981.401,1.657.144.167.196,2237289981401.0,1657144167196.0
