row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VNDGiá trịcó thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VNDGiá trịcó thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trịcó thể thu hồi
"UBND huyện Hoành Bồ (tiền sử dụng đất, bồi thường và chi phí khác)","UBND huyện Hoành Bồ (tiền sử dụng đất, bồi thường và chi phí khác)","UBND huyện Hoành Bồ (tiền sử dụng đất, bồi thường và chi phí khác)",33.642.634.419,16.888.000.000,33.642.634.419,16.888.000.000,33642634419.0,16888000000.0,33642634419.0,16888000000.0
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,6.276.862.862,-,6.276.862.862,-,6276862862.0,,6276862862.0,
Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,6.197.848.091,-,6.197.848.091,-,6197848091.0,,6197848091.0,
Công ty Cổ phần Sado Germany Window,Công ty Cổ phần Sado Germany Window,Công ty Cổ phần Sado Germany Window,6.175.268.784,1.186.789.366,6.175.268.784,3.319.778.605,6175268784.0,1186789366.0,6175268784.0,3319778605.0
Công ty Cổ phần Giấy Tây Đồ,Công ty Cổ phần Giấy Tây Đồ,Công ty Cổ phần Giấy Tây Đồ,5.917.662.357,500.000.000,6.406.288.707,892.400.000,5917662357.0,500000000.0,6406288707.0,892400000.0
Công ty TNHH JUNA,Công ty TNHH JUNA,Công ty TNHH JUNA,5.191.824.617,678.506.394,5.191.824.617,-,5191824617.0,678506394.0,5191824617.0,
Công ty Cổ phần Bá Hiến,Công ty Cổ phần Bá Hiến,Công ty Cổ phần Bá Hiến,4.908.189.208,-,5.408.189.208,-,4908189208.0,,5408189208.0,
Empresa Exportadora e Importadora de la Construction Các đối tượng khác,Empresa Exportadora e Importadora de la Construction Các đối tượng khác,Empresa Exportadora e Importadora de la Construction Các đối tượng khác,-,-,64.153.909.245,7.165.647.643,,,64153909245.0,7165647643.0
Empresa Exportadora e Importadora de la Construction Các đối tượng khác,Empresa Exportadora e Importadora de la Construction Các đối tượng khác,Empresa Exportadora e Importadora de la Construction Các đối tượng khác,283.888.134.190,46.762.326.311,244.667.855.068,27.100.654.957,283888134190.0,46762326311.0,244667855068.0,27100654957.0
Empresa Exportadora e Importadora de la Construction Các đối tượng khác,Empresa Exportadora e Importadora de la Construction Các đối tượng khác,Empresa Exportadora e Importadora de la Construction Các đối tượng khác,352.198.424.528,66.015.622.071,378.120.681.001,55.366.481.205,352198424528.0,66015622071.0,378120681001.0,55366481205.0
Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,,286.182.802.457,,322.754.199.796,,286182802457.0,,322754199796.0
