row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.255.563.122.845,6.741.087.869.792,283.098.210.332,27.958.086.306,186.286.686.414,11.493.993.975.689,4255563122845.0,6741087869792.0,283098210332.0,27958086306.0,186286686414.0,11493993975689.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,46.629.881,6.964.806.233,6.125.590.409,752.766.363,1.055.000.000,14.944.792.886,46629881.0,6964806233.0,6125590409.0,752766363.0,1055000000.0,14944792886.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,188.651.442.360,456.757.487.426,-,-,-,645.408.929.786,188651442360.0,456757487426.0,,,,645408929786.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,28.183.936.583,2.677.169.092,-,-,30.861.105.675,,28183936583.0,2677169092.0,,,30861105675.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,113.887.193.608,58.061.534.627,5.066.508.192,(131.474.902),(176.883.761.525),-,113887193608.0,58061534627.0,5066508192.0,-131474902.0,-176883761525.0,
"Phân loại lại sang công cụ, dụng cụtheo quyết toán","NGUYÊN GIÁ > Phân loại lại sang công cụ, dụng cụtheo quyết toán","Phân loại lại sang công cụ, dụng cụtheo quyết toán",-,(9.007.456.565),-,-,-,(9.007.456.565),,-9007456565.0,,,,-9007456565.0
Bán và thuê lại tài sản cố định thuệtài chính,NGUYÊN GIÁ > Bán và thuê lại tài sản cố định thuệtài chính,Bán và thuê lại tài sản cố định thuệtài chính,-,(166.297.929.657),-,-,-,(166.297.929.657),,-166297929657.0,,,,-166297929657.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.914.587.424),(57.877.615.760),(9.602.839.618),(574.194.407),-,(70.969.237.209),-2914587424.0,-57877615760.0,-9602839618.0,-574194407.0,,-70969237209.0
(Giảm)/Tăng khác,NGUYÊN GIÁ > (Giảm)/Tăng khác,(Giảm)/Tăng khác,(64.754.000),1.081.229.045,428.209.059,-,937.888,1.445.621.992,-64754000.0,1081229045.0,428209059.0,,937888.0,1445621992.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.555.169.047.270,7.058.953.861.724,287.792.847.466,28.005.183.360,10.458.862.777,11.940.379.802.597,4555169047270.0,7058953861724.0,287792847466.0,28005183360.0,10458862777.0,11940379802597.0
