row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,14.995.380.193.666,14.850.946.352.686,,200.0,,14995380193666.0,14850946352686.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,255.066.099.860,303.779.116.670,,210.0,,255066099860.0,303779116670.0
1.,1.,1.,Phải thu dài hạn khác,216,8,255.066.099.860,303.779.116.670,,216.0,8.0,255066099860.0,303779116670.0
II.,II.,II.,Tài sản cố định,220,,5.385.365.380.110,5.383.244.682.733,,220.0,,5385365380110.0,5383244682733.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,4.977.038.486.206,5.003.312.336.780,,221.0,12.0,4977038486206.0,5003312336780.0
1.,1.,1.,- Nguyên giá,222,,11.940.379.802.597,11.493.993.975.689,,222.0,,11940379802597.0,11493993975689.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223,,(6.963.341.316.391),(6.490.681.638.909),,223.0,,-6963341316391.0,-6490681638909.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,13,247.828.004.647,214.034.391.200,,224.0,13.0,247828004647.0,214034391200.0
2.,2.,2.,- Nguyên giá,225,,349.264.056.993,289.975.784.215,,225.0,,349264056993.0,289975784215.0
2.,2.,2.,- Giá trị hao mòn lũy kế,226,,(101.436.052.346),(75.941.393.015),,226.0,,-101436052346.0,-75941393015.0
3.,3.,3.,Tài sản cố định vô hình,227,14,160.498.889.257,165.897.954.753,,227.0,14.0,160498889257.0,165897954753.0
3.,3.,3.,- Nguyên giá,228,,219.105.789.512,219.107.449.512,,228.0,,219105789512.0,219107449512.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229,,(58.606.900.255),(53.209.494.759),,229.0,,-58606900255.0,-53209494759.0
III.,III.,III.,Bất động sản đầu tư,230,15,1.942.422.317.951,1.951.881.365.444,,230.0,15.0,1942422317951.0,1951881365444.0
III.,III.,III.,- Nguyên giá,231,,11.885.872.067.635,9.540.047.077.919,,231.0,,11885872067635.0,9540047077919.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(9.943.449.749.684),(7.588.165.712.475),,232.0,,-9943449749684.0,-7588165712475.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,6.229.377.004.740,5.774.841.992.938,,240.0,,6229377004740.0,5774841992938.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,16,6.229.377.004.740,5.774.841.992.938,,242.0,16.0,6229377004740.0,5774841992938.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,438.307.587.498,688.507.845.751,,250.0,5.0,438307587498.0,688507845751.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,,430.086.118.936,680.287.553.610,,252.0,,430086118936.0,680287553610.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,9.332.682.344,9.332.682.344,,253.0,,9332682344.0,9332682344.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(1.213.513.782),(1.214.690.203),,254.0,,-1213513782.0,-1214690203.0
4.,4.,4.,Đầu tư nằm giữ đến ngày đáo hạn,255,,102.300.000,102.300.000,,255.0,,102300000.0,102300000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,744.841.803.507,748.691.349.150,,260.0,,744841803507.0,748691349150.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,729.258.927.036,734.707.382.502,,261.0,11.0,729258927036.0,734707382502.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,25,15.582.876.471,13.983.966.648,,262.0,25.0,15582876471.0,13983966648.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,24.100.190.091.285,22.958.921.409.296,,270.0,,24100190091285.0,22958921409296.0
