row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,294.050.000.000,100.232.001.484,,31.0,294050000000.0,100232001484.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,9.032.868.142.216,6.462.987.802.853,,33.0,9032868142216.0,6462987802853.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(7.454.810.560.815),(5.980.361.296.732),,34.0,-7454810560815.0,-5980361296732.0
4.,III. > 4.,4.,Tiền trả nợ gốc thuê tài chính,35,(59.842.945.814),(55.169.703.200),,35.0,-59842945814.0,-55169703200.0
5.,III. > 5.,5.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(930.641.908.306),(1.171.127.812.013),,36.0,-930641908306.0,-1171127812013.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,881.622.727.281,(643.439.007.608),,40.0,881622727281.0,-643439007608.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(180.390.165.234),(691.636.394.432),,50.0,-180390165234.0,-691636394432.0
,,,Tiền và tương đương tiền đầu năm,60,2.018.744.609.826,2.711.467.149.609,,60.0,2018744609826.0,2711467149609.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,3.298.790.066,(1.086.145.351),,61.0,3298790066.0,-1086145351.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,1.841.653.234.658,2.018.744.609.826,,70.0,1841653234658.0,2018744609826.0
