row_label_raw,row_label_full,col_0,Nhóm bất động sản và xây dựng,"Nhóm kính, gương","Nhóm sứ, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Tổng cộng các bộ phận,numeric__Nhóm bất động sản và xây dựng,"numeric__Nhóm kính, gương","numeric__Nhóm sứ, sen vòi và phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Bộ phận khác,numeric__Tổng cộng các bộ phận
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.976.003.860.290,2.910.105.501.268,1.088.757.239.217,3.571.517.752.125,1.694.962.944.106,351.102.564.971,14.592.449.861.977,4976003860290.0,2910105501268.0,1088757239217.0,3571517752125.0,1694962944106.0,351102564971.0,14592449861977.0
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,2.918.788.978.183,2.021.560.963.937,711.921.355.812,2.911.505.767.123,1.498.417.355.256,292.106.017.322,10.354.300.437.633,2918788978183.0,2021560963937.0,711921355812.0,2911505767123.0,1498417355256.0,292106017322.0,10354300437633.0
Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,2.057.214.882.107,888.544.537.331,376.835.883.405,660.011.985.002,196.545.588.850,58.996.547.649,4.238.149.424.344,2057214882107.0,888544537331.0,376835883405.0,660011985002.0,196545588850.0,58996547649.0,4238149424344.0
Chi phí không phân bố,Chi phí không phân bố,Chi phí không phân bố,,,,,,,1.848.166.454.273,,,,,,,1848166454273.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,2.389.982.970.071,,,,,,,2389982970071.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,41.599.377.111,,,,,,,41599377111.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,(126.378.195.085),,,,,,,-126378195085.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,2.305.204.152.097,,,,,,,2305204152097.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,,392.165.617.135,,,,,,,392165617135.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,1.913.038.534.962,,,,,,,1913038534962.0
