row_label_raw,row_label_full,col_0,Số cuối năm > VNDGiá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trị ghi số,numeric__Số cuối năm > VNDGiá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trị ghi số
a1. Ngắn hạn,a1. Ngắn hạn,a1. Ngắn hạn,626.586.849.988,626.586.849.988,128.954.942.982,128.954.942.982,626586849988.0,626586849988.0,128954942982.0,128954942982.0
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),626.586.849.988,626.586.849.988,128.954.942.982,128.954.942.982,626586849988.0,626586849988.0,128954942982.0,128954942982.0
a2. Dài hạn,a2. Dài hạn,a2. Dài hạn,102.300.000,102.300.000,102.300.000,102.300.000,102300000.0,102300000.0,102300000.0,102300000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,20.000.000,20.000.000,20.000.000,20.000.000,20000000.0,20000000.0,20000000.0,20000000.0
- Các khoản đầu tư khác,- Các khoản đầu tư khác,- Các khoản đầu tư khác,82.300.000,82.300.000,82.300.000,82.300.000,82300000.0,82300000.0,82300000.0,82300000.0
