row_label_raw,row_label_full,col_0,Nhóm bắt động sản và xây dựng,"Nhóm kính, gương","Nhóm sử, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Tổng cộng các bộ phận,numeric__Nhóm bắt động sản và xây dựng,"numeric__Nhóm kính, gương","numeric__Nhóm sử, sen vòi và phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Bộ phận khác,numeric__Tổng cộng các bộ phận
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,5.227.055.501.237,2.004.628.541.724,925.371.825.442,3.459.272.314.479,1.270.110.034.267,307.380.210.897,13.193.818.428.046,5227055501237.0,2004628541724.0,925371825442.0,3459272314479.0,1270110034267.0,307380210897.0,13193818428046.0
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,2.675.988.163.004,2.089.204.613.191,666.869.269.791,2.872.850.987.720,1.148.321.249.576,221.458.076.864,9.674.692.360.146,2675988163004.0,2089204613191.0,666869269791.0,2872850987720.0,1148321249576.0,221458076864.0,9674692360146.0
Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,2.551.067.338.233,(84.576.071.467),258.502.555.651,586.421.326.759,121.788.784.691,85.922.134.033,3.519.126.067.900,2551067338233.0,-84576071467.0,258502555651.0,586421326759.0,121788784691.0,85922134033.0,3519126067900.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,1.568.394.284.975,,,,,,,1568394284975.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,1.950.731.782.925,,,,,,,1950731782925.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,7.955.107.714,,,,,,,7955107714.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,(356.748.353.222),,,,,,,-356748353222.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.601.938.537.417,,,,,,,1601938537417.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,,439.699.395.739,,,,,,,439699395739.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,1.162.239.141.678,,,,,,,1162239141678.0
