row_label_raw,row_label_full,col_0,Nhà xuǒngvà quyènsù dung dát,Co sò hā tàng,Tóng,numeric__Nhà xuǒngvà quyènsù dung dát,numeric__Co sò hā tàng,numeric__Tóng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư dàu nám,NGUYÊN GIÁ > Số dư dàu nám,Số dư dàu nám,1.269.199.426.126,8.270.847.651.793,9.540.047.077.919,1269199426126.0,8270847651793.0,9540047077919.0
Tăng trong nám,NGUYÊN GIÁ > Tăng trong nám,Tăng trong nám,66.592.728.661,2.275.832.306.666,2.342.425.035.327,66592728661.0,2275832306666.0,2342425035327.0
Điều chinh theo quyéttoán,NGUYÊN GIÁ > Điều chinh theo quyéttoán,Điều chinh theo quyéttoán,(2.696.174.893),6.096.129.282,3.399.954.389,-2696174893.0,6096129282.0,3399954389.0
Số dư cuǒi nám,NGUYÊN GIÁ > Số dư cuǒi nám,Số dư cuǒi nám,1.333.095.979.894,10.552.776.087.741,11.885.872.067.635,1333095979894.0,10552776087741.0,11885872067635.0
GIÁ TRÍ HAO MÒN LÜY KẾ,GIÁ TRÍ HAO MÒN LÜY KẾ,GIÁ TRÍ HAO MÒN LÜY KẾ,GIÁ TRÍ HAO MÒN LÜY KẾ,GIÁ TRÍ HAO MÒN LÜY KẾ,GIÁ TRÍ HAO MÒN LÜY KẾ,,,
Số dư dàu nám,GIÁ TRÍ HAO MÒN LÜY KẾ > Số dư dàu nám,Số dư dàu nám,410.393.341.415,7.177.772.371.060,7.588.165.712.475,410393341415.0,7177772371060.0,7588165712475.0
Trích khǎu hao trongnám,GIÁ TRÍ HAO MÒN LÜY KẾ > Trích khǎu hao trongnám,Trích khǎu hao trongnám,43.020.123.784,2.312.263.913.425,2.355.284.037.209,43020123784.0,2312263913425.0,2355284037209.0
Phân loại lại,GIÁ TRÍ HAO MÒN LÜY KẾ > Phân loại lại,Phân loại lại,238.291.654,(238.291.654),-,238291654.0,-238291654.0,
Số dư cuǒi nám,GIÁ TRÍ HAO MÒN LÜY KẾ > Số dư cuǒi nám,Số dư cuǒi nám,453.651.756.853,9.489.797.992.831,9.943.449.749.684,453651756853.0,9489797992831.0,9943449749684.0
GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,,,
Tại ngày dâu nám,GIÁ TRÍ CÒN LẠI > Tại ngày dâu nám,Tại ngày dâu nám,858.806.084.711,1.093.075.280.733,1.951.881.365.444,858806084711.0,1093075280733.0,1951881365444.0
Tại ngày cuǒi nám,GIÁ TRÍ CÒN LẠI > Tại ngày cuǒi nám,Tại ngày cuǒi nám,879.444.223.041,1.062.978.094.910,1.942.422.317.951,879444223041.0,1062978094910.0,1942422317951.0
