row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",05 - 20,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,05 - 10,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 - 08,
