row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,Số cuối năm > Giá trị > 91.675.313.641,Số cuối năm > VND > 91.675.313.641,Số đầu năm > Giá trị > 35.118.608.291,Số đầu năm > VND > 35.118.608.291,numeric__Số cuối năm > Giá trị > 91.675.313.641,numeric__Số cuối năm > VND > 91.675.313.641,numeric__Số đầu năm > Giá trị > 35.118.608.291,numeric__Số đầu năm > VND > 35.118.608.291
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,56.464.170.160,56.464.170.160,64.570.419.633,64.570.419.633,56464170160.0,56464170160.0,64570419633.0,64570419633.0
Công ty TNHH Xây dựng Thương mại và Vận tải Tuấn Kiệt,Công ty TNHH Xây dựng Thương mại và Vận tải Tuấn Kiệt,Công ty TNHH Xây dựng Thương mại và Vận tải Tuấn Kiệt,48.198.184.577,48.198.184.577,4.578.531.765,4.578.531.765,48198184577.0,48198184577.0,4578531765.0,4578531765.0
Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,48.012.578.764,48.012.578.764,42.621.511.925,42.621.511.925,48012578764.0,48012578764.0,42621511925.0,42621511925.0
Công ty Cổ phần Xây dựng Bắc Ninh,Công ty Cổ phần Xây dựng Bắc Ninh,Công ty Cổ phần Xây dựng Bắc Ninh,47.144.747.524,47.144.747.524,21.927.044.130,21.927.044.130,47144747524.0,47144747524.0,21927044130.0,21927044130.0
Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,25.049.764.272,25.049.764.272,19.121.489.654,19.121.489.654,25049764272.0,25049764272.0,19121489654.0,19121489654.0
"China Triumph International Engineering Co., Ltd","China Triumph International Engineering Co., Ltd","China Triumph International Engineering Co., Ltd",24.950.082.427,24.950.082.427,12.835.429.867,12.835.429.867,24950082427.0,24950082427.0,12835429867.0,12835429867.0
Công ty Cổ phần Công nghệ TOHOKU,Công ty Cổ phần Công nghệ TOHOKU,Công ty Cổ phần Công nghệ TOHOKU,18.058.958.315,18.058.958.315,10.788.146.772,10.788.146.772,18058958315.0,18058958315.0,10788146772.0,10788146772.0
Tổng Công ty Vật liệu xây dựng Số 1 - CTCP,Tổng Công ty Vật liệu xây dựng Số 1 - CTCP,Tổng Công ty Vật liệu xây dựng Số 1 - CTCP,16.163.146.845,16.163.146.845,10.849.587.168,10.849.587.168,16163146845.0,16163146845.0,10849587168.0,10849587168.0
Công ty Cổ phần Sản xuất và Đầu tư Hải Anh,Công ty Cổ phần Sản xuất và Đầu tư Hải Anh,Công ty Cổ phần Sản xuất và Đầu tư Hải Anh,15.524.196.665,15.524.196.665,6.535.875.730,6.535.875.730,15524196665.0,15524196665.0,6535875730.0,6535875730.0
Công ty TNHH Đầu tư Xây dựng UNICONS,Công ty TNHH Đầu tư Xây dựng UNICONS,Công ty TNHH Đầu tư Xây dựng UNICONS,13.905.367.310,13.905.367.310,30.212.453.303,30.212.453.303,13905367310.0,13905367310.0,30212453303.0,30212453303.0
Chi nhánh xăng dầu Bắc Ninh,Chi nhánh xăng dầu Bắc Ninh,Chi nhánh xăng dầu Bắc Ninh,13.812.047.586,13.812.047.586,13.812.047.586,13.812.047.586,13812047586.0,13812047586.0,13812047586.0,13812047586.0
Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,12.386.302.907,12.386.302.907,21.437.818.759,21.437.818.759,12386302907.0,12386302907.0,21437818759.0,21437818759.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.144.625.970.910,1.144.625.970.910,1.296.028.141.371,1.296.028.141.371,1144625970910.0,1144625970910.0,1296028141371.0,1296028141371.0
,,,1.575.970.831.903,1.575.970.831.903,1.590.437.105.954,1.590.437.105.954,1575970831903.0,1575970831903.0,1590437105954.0,1590437105954.0
