row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Giá trị thương hiệu,nhãn hiệu hàng hóa,bản quyền, bằng sáng chế",Phần mềmmáy tính,"Chi phí đến bù, sanlắp mặt bằng",Tài sản khác,Tổng,numeric__Quyềnsử dụng đất,"numeric__Giá trị thương hiệu,nhãn hiệu hàng hóa,bản quyền, bằng sáng chế",numeric__Phần mềmmáy tính,"numeric__Chi phí đến bù, sanlắp mặt bằng",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,96.539.538.295,3.305.486.937,15.810.087.282,93.259.704.164,10.192.632.834,219.107.449.512,96539538295.0,3305486937.0,15810087282.0,93259704164.0,10192632834.0,219107449512.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,,-,64.200.000,64.200.000,,,,,64200000.0,64200000.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,(65.860.000),-,-,(65.860.000),,,-65860000.0,,,-65860000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,96.539.538.295,3.305.486.937,15.744.227.282,93.259.704.164,10.256.832.834,219.105.789.512,96539538295.0,3305486937.0,15744227282.0,93259704164.0,10256832834.0,219105789512.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,20.085.344.052,915.417.665,8.921.335.327,20.556.479.655,2.730.918.060,53.209.494.759,20085344052.0,915417665.0,8921335327.0,20556479655.0,2730918060.0,53209494759.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.080.552.528,275.457.252,1.400.460.838,2.186.773.804,520.021.074,5.463.265.496,1080552528.0,275457252.0,1400460838.0,2186773804.0,520021074.0,5463265496.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,(65.860.000),-,-,(65.860.000),,,-65860000.0,,,-65860000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,21.165.896.580,1.190.874.917,10.255.936.165,22.743.253.459,3.250.939.134,58.606.900.255,21165896580.0,1190874917.0,10255936165.0,22743253459.0,3250939134.0,58606900255.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,76.454.194.243,2.390.069.272,6.888.751.955,72.703.224.509,7.461.714.774,165.897.954.753,76454194243.0,2390069272.0,6888751955.0,72703224509.0,7461714774.0,165897954753.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,75.373.641.715,2.114.612.020,5.488.291.117,70.516.450.705,7.005.893.700,160.498.889.257,75373641715.0,2114612020.0,5488291117.0,70516450705.0,7005893700.0,160498889257.0
