row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND > Giảm,Số cuối năm > Giá trị,Số cuối năm > VND > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.609.203.283.298,1.609.203.283.298,7.914.006.634.628,7.045.962.349.249,2.477.247.568.677,2.477.247.568.677,1609203283298.0,1609203283298.0,7914006634628.0,7045962349249.0,2477247568677.0,2477247568677.0
Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 24),Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 24),Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 24),350.211.262.049,350.211.262.049,456.591.490.297,386.566.954.294,420.235.798.052,420.235.798.052,350211262049.0,350211262049.0,456591490297.0,386566954294.0,420235798052.0,420235798052.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,298.483.808.923,298.483.808.923,387.020.787.675,328.623.413.257,356.881.183.341,356.881.183.341,298483808923.0,298483808923.0,387020787675.0,328623413257.0,356881183341.0,356881183341.0
Nợ thuê tài chính dài hạn đến hạn trả,Trong đó: > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,51.727.453.126,51.727.453.126,69.570.702.622,57.943.541.037,63.354.614.711,63.354.614.711,51727453126.0,51727453126.0,69570702622.0,57943541037.0,63354614711.0,63354614711.0
,,,1.959.414.545.347,1.959.414.545.347,8.370.598.124.925,7.432.529.303.543,2.897.483.366.729,2.897.483.366.729,1959414545347.0,1959414545347.0,8370598124925.0,7432529303543.0,2897483366729.0,2897483366729.0
