row_label_raw,row_label_full,col_0,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__VND
,,,Lĩnh vực kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
Công ty Cổ phần Phát triển Đô thị Phú Quốc,Công ty Cổ phần Phát triển Đô thị Phú Quốc,Công ty Cổ phần Phát triển Đô thị Phú Quốc,Bất động sản,50.000.000.000,-,"6,67%",50.000.000.000,-,"6,67%",,50000000000.0,,0.0667,50000000000.0,,0.0667
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Đầu tư và thương mại,40.204.950.907,(19.080.005.672),"14,75%",40.204.950.907,-,"14,75%",,40204950907.0,-19080005672.0,0.1475,40204950907.0,,0.1475
Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Sản xuất cao su,20.000.000.000,(20.000.000.000),"5,00%",20.000.000.000,(20.000.000.000),"5,00%",,20000000000.0,-20000000000.0,0.05,20000000000.0,-20000000000.0,0.05
Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Bất động sản,6.000.000.000,-,"15,00%",6.000.000.000,-,"15,00%",,6000000000.0,,0.15,6000000000.0,,0.15
"Công ty Cổ phần Vina Đại Phước (""Vina Đại Phước"")","Công ty Cổ phần Vina Đại Phước (""Vina Đại Phước"")","Công ty Cổ phần Vina Đại Phước (""Vina Đại Phước"")",Bất động sản,1.610.000.000,(227.305.434),"0,10%",1.610.000.000,(227.305.434),"0,10%",,1610000000.0,-227305434.0,0.001,1610000000.0,-227305434.0,0.001
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Bất động sản,173.958.093,-,"0,27%",173.958.093,-,"0,27%",,173958093.0,,0.0027,173958093.0,,0.0027
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,117.988.909.000,(39.307.311.106),,117.988.909.000,(20.227.305.434),,,117988909000.0,-39307311106.0,,117988909000.0,-20227305434.0,
15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,15.4 Đầu tư nằm giữ đến ngày đáo hạn,,,,,,,
,,,,,,,Số cuối năm,VND,VND,,,,,,,
,,,,,,,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,,
Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,15.4 Đầu tư nằm giữ đến ngày đáo hạn > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Bình Xuyên,20.000.000.000,-,-,,,,,20000000000.0,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,15.4 Đầu tư nằm giữ đến ngày đáo hạn > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,10.000.000.000,14.190.000.000,14.190.000.000,,,,,10000000000.0,14190000000.0,14190000000.0
Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,15.4 Đầu tư nằm giữ đến ngày đáo hạn > Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,8.000.000.000,5.000.000.000,5.000.000.000,,,,,8000000000.0,5000000000.0,5000000000.0
