row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,
Công ty TNHH Du Lịch DIC (i),Công ty TNHH Du Lịch DIC (i),Công ty TNHH Du Lịch DIC (i),784.498.221.388,(237.922.074.111),"99,99%",-,-,-,784498221388.0,-237922074111.0,0.9998999999999999,,,
Công ty Cổ phần Thủy Cung DIG,Công ty Cổ phần Thủy Cung DIG,Công ty Cổ phần Thủy Cung DIG,147.250.000.000,-,"95,00%",147.250.000.000,(3.458.000),"95,00%",147250000000.0,,0.95,147250000000.0,-3458000.0,0.95
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,77.391.698.291,(8.026.352.475),"100,00%",75.902.432.291,(7.856.552.218),"98,00%",77391698291.0,-8026352475.0,1.0,75902432291.0,-7856552218.0,0.98
Công ty Cổ phần Gạch men Anh Em DIC,Công ty Cổ phần Gạch men Anh Em DIC,Công ty Cổ phần Gạch men Anh Em DIC,75.250.000.000,(75.250.000.000),"89,03%",75.250.000.000,(75.250.000.000),"89,03%",75250000000.0,-75250000000.0,0.8903,75250000000.0,-75250000000.0,0.8903
Công ty Cổ phần Đầu tư Phát triển Xây dựng Số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng Số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng Số 1,14.726.900.000,-,"51,67%",14.726.900.000,-,"51,67%",14726900000.0,,0.5167,14726900000.0,,0.5167
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,12.862.796.574,-,"50,07%",12.862.796.574,(3.311.892.620),"50,07%",12862796574.0,,0.5007,12862796574.0,-3311892620.0,0.5007
Công ty Cổ phần Du lịch và Thương mại DIC (ii),Công ty Cổ phần Du lịch và Thương mại DIC (ii),Công ty Cổ phần Du lịch và Thương mại DIC (ii),-,-,-,75.389.000.000,-,"68,58%",,,,75389000000.0,,0.6858
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.111.979.616.253,(321.198.426.586),,401.381.128.865,(86.421.902.838),,1111979616253.0,-321198426586.0,,401381128865.0,-86421902838.0,
"Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:","Tổng Công ty có bày (7) công ty con, bao gồm:",,,,,,
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh chính,Lĩnh vực kinh doanh chính,Lĩnh vực kinh doanh chính,Tình trạng,Tỷ lệ sở hữu %,Tỷ lệ biểu quyết %,,,,,,
